id,question,answer,question_answer_id,bot_id,answer_id
1765525,自宅,申し訳ありませんが、総務部の山田さんに連絡をとり、入館方法を確認してください。なお、総務部直通の電話番号は、03-1234-5678です。よろしくお願いいたします。, - ,"",6702
1765526,社員証無くした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765527,円周率はいくつですか？,3.14です！, - ,"",6703
1765528,正三角形の内角は？,60度です！, - ,"",6704
1765529,おはよう！,おはようございます。, - ,"",6705
1765530,社員証なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765531,入館証なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765532,社員証,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765533,入館証,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765534,PC壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765535,パソコンのログインができなくなったんですが、誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765536,パソコンがログインできない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765537,PCこわれた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765538,PCが壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765539,PCが壊れました・・,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765540,PC入れない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765541,総務の山田さんのEメールアドレス教えて,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765542,総務の山田さんのEmailアドレス教えて,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765543,PCが壊れた、ログインができない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765544,社員証を無くしたんですが、どうしたらいいですか？,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765545,入館証を無くしたんですが、どうしたらいいですか？,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765546,社員証を無くしたんですが,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765547,入館証を無くしたんですが,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765548,パソコンが壊れたよ誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765549,パソコン壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765550,パソコン壊れました~,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765551,パソコン壊れました,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765552,カードキーなくしたよー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765553,カードキーわすれたー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765554,カードキーなくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765555,カードキー無くした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765556,社員証なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765557,入館証なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765558,社員証,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765559,入館証,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765560,PC壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765561,パソコンのログインができなくなったんですが、誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765562,パソコンがログインできない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765563,PCこわれた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765564,PCが壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765565,PCが壊れました・・,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765566,PC入れない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765567,総務の山田さんのEメールアドレス教えて,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765568,総務の山田さんのEmailアドレス教えて,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765569,PCが壊れた、ログインができない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765570,社員証を無くしたんですが、どうしたらいいですか？,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765571,入館証を無くしたんですが、どうしたらいいですか？,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765572,社員証を無くしたんですが,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765573,入館証を無くしたんですが,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765574,パソコンが壊れたよ誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765575,パソコン壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765576,パソコン壊れました~,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765577,パソコン壊れました,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765578,カードキーなくしたよー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765579,カードキーわすれたー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765580,カードキーなくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765581,カードキー無くした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765582,カードキーなくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765583,カードキー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765584,パソコン壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765585,今週の予定どうなってますか？,今週の予定について確認したいのですか？, - ,"",6693
1765586,今週の予定,今週の予定について確認したいのですか？, - ,"",6693
1765587,総務の山田さんに連絡をとりたい,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765588,山田さんの予定,今週の予定について確認したいのですか？, - ,"",6693
1765589,総務の山田さん,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765590,山田さんに連絡,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765591,PCのログインができなくなったんですが、誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765592,PCがログインできない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765593,今週の会社全体の予定ってどうなってましたっけ？,今週の会社の予定です。9/19(月) 敬老の日でお休み9/20(火) 特になし9/21(水) ファミリー出社デー9/22(木) 秋分の日でお休み9/23(金) 全体会議, - ,"",6701
1765594,今週の予定は？,今週の予定について確認したいのですか？, - ,"",6693
1765595,パソコンこわれた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765596,パソコンが壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765597,パソコンが壊れました・・,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765598,鍵なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765599,鍵なくしちゃった,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765600,かぎがない,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765601,ログインが出来ない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765602,パソコン入れない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765603,今週の予定は,今週の予定について確認したいのですか？, - ,"",6693
1765604,今週何があったっけ,今週の予定について確認したいのですか？, - ,"",6693
1765605,来週の予定は？,今週の予定について確認したいのですか？, - ,"",6693
1765606,総務の人に連絡,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765607,総務の山田さんのメールアドレス教えて,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765608,パソコンが壊れた、ログインができない,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765609,カードキーを無くしたんですが、どうしたらいいですか？,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765610,カードキーを無くしたんですが,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765611,PCが壊れたよ誰に聞けばいいですか？,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765612,PC壊れた,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765613,PC壊れました~,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765614,PC壊れました,パソコンが壊れた・ログインができない時の対応方法を知りたいのですか？, - ,"",6683
1765615,山田さん,総務の山田さんの連絡先を知りたいのですか？, - ,"",6697
1765616,社員証なくしたよー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765617,社員証わすれたー,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765618,社員証なくした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765619,自宅,申し訳ありませんが、総務部の山田さんに連絡をとり、入館方法を確認してください。なお、総務部直通の電話番号は、03-1234-5678です。よろしくお願いいたします。, - ,"",6702
1765620,社員証無くした,カードキーを失くした際の手順について知りたいのですか？, - ,"",6674
1765621,円周率はいくつですか？,3.14です！, - ,"",6703
1765622,正三角形の内角は？,60度です！, - ,"",6704
1765623,おはよう！,おはようございます。, - ,"",6705
3082314,Windowsにログインが出来ません,ユーザーIDやパスワードに入力ミスはありませんか？アルファベットの大文字と小文字は違う文字として扱われますので注意してください。,14853,5,8247
3082315,パスワードを変更するにはどうしたらいいですか？,パスワード変更は右下に出ているヘルプに従ってください。,14854,5,8248
3082316,パスワードを忘れてしましました,担当者までお問い合わせください。内線は１２３です。,14855,5,8249
3082317,突然画面が真っ暗になってしましました,何も入力がないまま数分経つと、ディスプレイの焼き付きを防止するためスクリーンセーバーというプログラムが動きます。,14856,5,8250
3082318,強制的にシャットダウンしてしまいます,お使いのOSを教えてください。,14857,5,8251
3082319,パソコンにメモリを増設出来ますか？,はい可能です。,14858,5,8252
3082320,共有パソコンに設定している管理者権限は変更できますか？,変更可能です。上司の許可を得た上で、システム室までお越しください。,14859,5,8253
3082321,データのコピーはできますか？,はい。可能です。ご自身でのコピーはできませんので、ご注意ください。,14860,5,8254
3082322,Macは使用できますか？,はい可能です。,14861,5,8252
3082323,無線LANに接続できません,今までは接続出来ていましたか？,14862,5,8255
3082324,無線LANのパスワードを忘れてしまいました,部長にお尋ねください。,14863,5,8256
3082325,拠点のIPアドレスを教えてください。,"下記情報をシステム部までお送りください。

================================

【申請者情報】

部署名：

氏名：

メールアドレス：",14864,5,8257
3082326,プリンタのドライバがインストール出来ません,"プリンタードライバーのインスールにはパスワードが必要です。
パスワードは知っていますか？",14865,5,8258
3082327,パソコンは複数台利用できますか,複数台の使用は禁止されています。,14866,5,8259
3082328,パソコンは複数台利用できますか,複数台の使用は禁止されています。,14867,5,8259
3082329,Cドライブの容量がいっぱいになってしまいました。,いらないデータを削除してください。,14868,5,8260
3082330,パソコンの容量がパンパンです。,いらないデータを削除してください。,14869,5,8260
3082331,パソコンの容量が不足してしまいます。,いらないデータを削除してください。,14870,5,8260
3082332,ハードディスクの容量が不足した場合はどうしたらいいですか？,いらないデータを削除してください。,14871,5,8260
3082333,HDDの容量が不足した場合はどうしたらいいですか？,いらないデータを削除してください。,14872,5,8260
3082334,複数のメールアドレスのアカウントを取れますか？,アカウント申請書を出してください。,14873,5,8261
3082335,メールアドレスを複数作れますか？,アカウント申請書を出してください。,14874,5,8261
3082336,マウスはもらえますか？,使用していたマウスが壊れましたか？,14875,5,8262
3082337,共有フォルダにアクセスできません。,インターネットは使えていますか？,14876,5,8263
3082338,海外出張でパソコンを持っていくことはできますか？,PC保険へは加入されていますか？,14877,5,8264
3082339,海外出張でパソコンを持っていくことはできますか？,PC保険へは加入されていますか？,14878,5,8264
3082340,MLが届きません。,以前は届いていましたか？,14879,5,8265
3082341,メーリングリストが届かなくなってしましました。,以前は届いていましたか？,14880,5,8265
3082342,パソコンが壊れてしまいました。,粗大ゴミにお出しください。,14881,5,8266
3082343,パソコンが動きません。,どの部位が動きませんか？,14882,5,8267
3082344,パソコンの調子が悪いです。どうしたらいいでしょうか？,調子が悪いのはどこですか？,14883,5,8268
3082345,PDFとして保存できますか？,マニュアルに記載があります。ご覧下さい。,14884,5,8269
3082346,Gメールを仕事で使用してもいいですか？,ビジネス上でのGメール利用は禁止されております。,14885,5,8270
3082347,Gmailを仕事で使用してもいいですか？,ビジネス上でのGmail利用は禁止されております。,14886,5,8271
3082348,IDの変更はできますか？,変更可能です。,14887,5,8272
3082349,パスワードの変更はできますか？,変更可能です。,14888,5,8272
3082350,メールの設定ができません。,初めての設定ですか？,14889,5,8273
3082351,PCを壊してしまった場合は料金が発生しますか？,はい。発生します。,14890,5,8274
3082352,パソコンを破壊したら弁償しなければなりませんか？,はい。弁償していただきます。,14891,5,8275
3082353,Office2010のライセンス登録はどのように行いますか？,Office2010のライセンス登録についてはマニュアルに記載されております。,14892,5,8276
3082354,Officeのライセンスを移行したい。,Office2010のライセンス移行については以前のライセンスNO.をご用意ください。,14893,5,8277
3082355,Wordがフリーズしてしまいました。,強制終了してください。,14894,5,8278
3082356,PowerPointがフリーズしてしまいました。,強制終了してください。,14895,5,8278
3082357,ワードが動かなくなってしまいました。,強制終了してください。,14896,5,8278
3082358,Power Pointが動かなくなってしまいました。,強制終了してください。,14897,5,8278
3082359,Excelを使っていたら十字キーでセルの移動ができなくなってしまいました。,「ScrollLock」キーを押してください。,14898,5,8279
3082360,エクセル　十字キーでのセル移動不可,「ScrollLock」キーを押してください。,14899,5,8279
3082361,ChromeでFlashが見れません。,Flashが有効になっているかどうかをご確認下さい。,14900,5,8280
3082362,マウスが無反応です。,マウスの裏面を掃除してください。,14901,5,8281
3082363,マウスの反応が遅いです。,マウスの裏面を掃除してください。,14902,5,8281
3082364,辞書で登録していた単語がなくなりました。,バックアップはありますか？,14903,5,8282
3082365,辞書が初期化されました。,バックアップはありますか？,14904,5,8282
3082366,USBの使用はできますか,当社でのUSBの使用は禁止されております。,14905,5,8283
3082367,USBは利用してもいいですか？,当社でのUSBの使用は禁止されております。,14906,5,8283
3082368,他社とファイルの共有方法を教えてください。,ファイルの共有は禁止されております。,14907,5,8284
3082369,携帯電話が壊れました。,携帯電話はスマートフォンですか？,14908,5,8285
3082370,ファイルが削除できません。,権限のある方にお問い合わせください。,14909,5,8286
3082371,システムの復元はできますか？,バックアップがあれば可能です。,14910,5,8287
3082372,システムの復元方法を教えてください。,バックアップはありますか？,14911,5,8282
3082373,ノートパソコンの電源ランプがつきません,電源には接続されていますか？または、充電は十分にされていますか？,14912,5,8288
3082374,ノートパソコンの電源ランプがつきません,電源には接続されていますか？または、充電は十分にされていますか？,14913,5,8288
3082375,パソコンの動作が遅いです。,多くのシステムを開いていませんか？一度全てを閉じてください。,14914,5,8289
3082376,パソコンの動きが鈍くなってしまいました。,多くのシステムを開いていませんか？一度全てを閉じてください。,14915,5,8289
3082377,パソコンがおもくなってきました。どうしたらいいでしょうか？,多くのシステムを開いていませんか？一度全てを閉じてください。,14916,5,8289
3082378,IEの表示がおかしいです。,IEのバージョンをご確認下さい。,14917,5,8290
3082379,IEの表示が変になってしまいました。,IEのバージョンをご確認下さい。,14918,5,8290
3082380,IE　サイトが見れません。,IEのバージョンをご確認下さい。,14919,5,8290
3082381,MLのアドレスの確認方法を教えてください。,部署のMLや全体のMLはこちらです。,14920,5,8291
3082382,メーリングリストのメンバーを確認したいです。,部署のMLや全体のMLはこちらです。,14921,5,8291
3082383,80階のプリンタを使うにはどうしたらいいですか？,80回のプリンタはwifi設定で使用可能です。,14922,5,8292
3082384,パソコンを入替えたい時はどうしたらいいですか？,入替をする前に使わなくなるPCの解約が必要です。,14923,5,8293
3082385,パソコン入替えの手順を教えてください。,入替をする前に使わなくなるPCの解約が必要です。,14924,5,8293
3082386,ドメインを取得するにはどうしたら良いでしょうか？,希望ドメインを決定した上で、再度ご連絡ください。,14925,5,8294
3082387,共有フォルダへのアクセス方法を教えてください。,デスクトップのスタートボタンから、「ファイル名を指定して実行」をクリックしてください。,14926,5,8295
3082388,共有フォルダを使うのに権利は必要ですか？,はい。必要です。,14927,5,8296
3082389,メンバーとチャット　方法,メンバーとのチャットはアプリから行ってください。,14928,5,8297
3082390,他社とチャットできますか？,"メンバーであれば可能です。
チャットはアプリから行ってください。",14929,5,8298
3082391,OSの確認方法を教えてください。,"デスクトップの「スタート」＞「ファイル名を指定して実行」（もしくは「プログラムとファイルの検索」に「cmd」と入力

「systeminfo」と入力で確認できます。",14930,5,8299
3082392,パソコンのバージョンを確認したいです。,"デスクトップの「スタート」＞「ファイル名を指定して実行」（もしくは「プログラムとファイルの検索」に「cmd」と入力

「systeminfo」と入力で確認できます。",14931,5,8299
3082393,ファイルを移動すると警告が出ます。消せますか？,はい。可能です。,14932,5,8300
3082394,"Wordで正常に保存ができません。

 ",しばらくたってから再度お試しください。,14933,5,8301
3082395,"ひらがな・カタカナ入力しかできなくなってしましました。

 （例：Aを押すとﾁになる）",キーボードで「Ctrl」+「Shift」+「カタカナ」を押してください。,14934,5,8302
3082396,ローマ字入力をしたいです。,キーボードで「Ctrl」+「Shift」+「カタカナ」を押してください。,14935,5,8302
3082397,キーボード　文字　変,"ひらがな・カタカナ入力しかできないとのことですね。



キーボードの「Ctrl」+「Shift」+「カタカナ」を押せばなおります。",14936,5,8303
3082398,全員インターネットに繋がらなくなってしましました。,システムの不具合が考えられます。ご連絡ください。,14937,5,8304
3082399,インターネットに接続出来ないのはなぜですか？,システムの不具合が考えられます。ご連絡ください。,14938,5,8304
3082400,LANケーブルを挿したのに繋がりません。,システムの不具合が考えられます。ご連絡ください。,14939,5,8304
3082401,メールが送信されません。,システムの不具合が考えられます。ご連絡ください。,14940,5,8304
3082402,モニタを追加で使用することはできますか？,在庫がある場合は可能です。,14941,5,8305
3082403,モニタが欲しいのですが、ありますか？,在庫がある場合は可能です。,14942,5,8305
3082404,Excelのマクロが有効になりません。,"ツール　＞　マクロ　＞　セキュリティ
セキュリティレベルを中にしてください。",14943,5,8306
3082405,エクセル　マクロの設定方法を教えてください。,"ツール　＞　マクロ　＞　セキュリティ
セキュリティレベルを中にしてください。",14944,5,8306
3082406,データを持ち運びたいのですが可能ですか？,"外部へデータを持ち運ぶ場合には、2つの方法があります。
利用したい方法を選択ください。",14945,5,8307
3082407,パワーポイントが破損していると表示されます。対策を教えてください。,「コントロールパネル／プログラムの追加と削除」から対処します。,14946,5,8308
3082408,Windows　ログイン画面が表示されません。,再起動を試して下さい。,14947,5,8309
3082409,office2007で作成した書類をoffice2003で見たい,office2007互換機能パックをインストールしてください。,14948,5,8310
3082410,Outlookなどでメールを送受信できますか？,使用は禁止されております。,14949,5,8311
3082411,"メールが送信できません。

 ",今まで送信できていましたか？,14950,5,8312
3082412,オフィスのバージョンを変更できますか？,インストール可能なバージョンがあるか確認いたします。,14951,5,8313
3082413,FirefoxだとPDFが文字化けしてしまいます。,Firefoxのメニューから「オプション」で設定を変更してください。,14952,5,8314
3082414,Googleカレンダーは使用できますか？,ビジネスでの使用は禁止されております。,14953,5,8315
3082415,サイト依存のページを見る方法はありますか？,"以下をインストールしてください。
ChromeやFirefoxを使ってIE専用サイトの閲覧が可能になる場合があります。

Chromeの場合
 https://chrome.google.com/webstore/detail/ie-tab-multi-enhance/fnfnbeppfinmnjnjhedifcfllpcfgeea?hl=ja

Firefoxの場合
 https://addons.mozilla.org/ja/firefox/addon/ie-tab/",14954,5,8316
3082416,SSLの取得方法を教えてください。,取得されたいSSLのドメイン名をシステム部までご連絡ください。,14955,5,8317
3082417,辞書ツール　移行　できない,バージョンが異なる場合、エラーが出ます。,14956,5,8318
3082418,サブドメインを使用したい,サブドメインを取得されたい場合はドメイン名をシステム部までご連絡ください。,14957,5,8319
3082419,Adobe使いたい,無償でお渡しが可能です。ご連絡ください。,14958,5,8320
3082420,急にパソコンの音が出なくなりました。故障でしょうか？,サウンドドライブを再インストールしてください。,14959,5,8321
3082421,パソコンの音が出ません。,サウンドドライブを再インストールしてください。,14960,5,8321
3082422,ホームページを見ていると警告のウインドウが現れます。,セキュリティレベルを低くしてください。,14961,5,8322
3082423,正しいパスワードを入力しているのにログインできません。,パスワードが変更された可能性があります。ご連絡ください。,14962,5,8323
3082424,エクセルでコピペができません,スカイプが原因の可能性があります。,14963,5,8324
3082425,ファイルが読み取り専門になってしまいます。,周りの方に全てのエクセルファイルを閉じてもらってください。,14964,5,8325
3082426,カードをかざしているのに、プリンタ印刷ができません。,カードの有効期限は残っていますか？,14965,5,8326
3082427,自分以外の人のパスワードの確認方法を教えてください。,申請が必要です。,14966,5,8327
3082428,ファイルの圧縮ができません。,右クリックにて出来ない場合は、圧縮くん・解凍くんをご利用ください。,14967,5,8328
3082429,ファイルの解凍ができません。,右クリックにて出来ない場合は、圧縮くん・解凍くんをご利用ください。,14968,5,8328
3082430,システム部の連絡先を教えてください。,"システム部の連絡先は以下です。
アドレス
system@abc.co.jp
内線
１２３",14969,5,8329
3082431,メモリを増設することはできますか？,増設したいパソコンの型番を教えてください。,14970,5,8330
3082432,MACの利用には手続きが必要ですか？,いいえ、手続きの必要はございません。,14971,5,8331
3082433,マックを使うことはできますか？,はい。可能です。,14972,5,8300
3082434,容量オーバー　対処方法,必要のないファイルを削除してください。,14973,5,8332
3082435,パソコンが破損した場合はどうしたらいいですか？,使用は可能ですか？,14974,5,8333
3082436,メール送信で、2000件を一度に送ることはできますか？,宛先は500件が最大です。どうしても一度にたくさんの宛先へ送りたい場合は、メーリングリストを活用ください。,14975,5,8334
3082437,セキュリティソフトの月額料金はいくらですか？,５台まで￥300/月です。,14976,5,8335
3082438,Adobe Readerをインストールしても良いですか？,はい。ご利用いただけます。,14977,5,8336
3082439,AdobeFlashPlayerをダウンロードしても良いですか？,はい。ご利用いただけます。,14978,5,8336
3082440,社内設定について教えてください。,下記のマニュアルをご覧ください。,14979,5,8337
3082441,Internet Explorerで右クリックができない,フリーズしている可能性があります。タスクマネージャーにて対処ください。,14980,5,8338
3082442,Internet Explorer11にアップデートはどうすればいいですか？,自動アップデートされます。,14981,5,8339
3082443,iOSのバージョンアップしたらエラーメッセージが表示されました,"iOSのバージョンアップでエラーメッセージが表示された場合は、
対応店舗にご連絡ください。
連絡先　0120-123-123",14982,5,8340
3172977,080-5001-6198,一郎,1290,3,2711
3172978,test,hogehoge,12357,3,5468
3172979,hoge,mogmoge,12358,3,5469
3172980,hoグラムe,mogmoge,12358,3,5469
3172981,連絡先は、080-5001-6198です,一郎,1290,3,2711
3172982,080-5001-6198までお電話ください,一郎,1290,3,2711
3172983,電話番号は080-5001-6198です。,一郎,1290,3,2711
3172984,（08050016198）,一郎,1290,3,2711
3172985,08050016198,一郎,1290,3,2711
3172986,ぜろはちぜろごぜろぜろいちろくいちきゅうはち,一郎,1290,3,2711
3172987,08050016198,一郎,1290,3,2711
3172988,（080）50016198,一郎,1290,3,2711
3172989,（080）5001-6198,一郎,1290,3,2711
3172990,080-5001-6198は誰？,一郎,1290,3,2711
3172991,080-5001-6198を登録,一郎,1290,3,2711
3172992,080-5001-6198にかける,一郎,1290,3,2711
3172993,テスト,hogehoge,12357,3,5468
3172994,試行,hogehoge,12357,3,5468
3172995,試験,hogehoge,12357,3,5468
3172996,試験,hogehoge,12357,3,5468
3172997,テスト,hogehoge,12357,3,5468
3172998,問題,hogehoge,12357,3,5468
3172999,テスト,hogehoge,12357,3,5468
3173000,試験,hogehoge,12357,3,5468
3173001,テストを行う,hogehoge,12357,3,5468
3173002,ほげる,mogmoge,12358,3,5469
3173003,ほげ,mogmoge,12358,3,5469
3173004,必要な文字に置き換えて使ってください,mogmoge,12358,3,5469
3173005,hogeってなに？,mogmoge,12358,3,5469
3173006,hogeとは？,mogmoge,12358,3,5469
3173007,hogeの意味は？,mogmoge,12358,3,5469
