Id,質問,Answer
18666,国内出張について、航空券をネットで購入した場合、どう申請したら良いですか？,国内出張において、航空券をネットで購入した場合について、領収書または証明書を入手し、提出して下さい。
18667,国内出張について、乗車券（原本）は領収書の代わりになりますか？,国内出張精算の乗車券＝領収書の取扱いについて、領収書が望ましいですが、乗車券の原本でも金額記載があれば、領収書として取り扱います。
18668,国内出張について、新幹線の自動改札機にかざすと出る「ICカードの利用券」は領収書の代わりになりますか？,国内出張精算時の領収書の代わりになるものについて、ICカード利用券を認めております。
18669,"国内出張について、ガソリン代を立て替えましたが、領収書を取り忘れました。
クレジットカードの明細でも精算出来ますか？","国内出張精算のクレジットカード払いで領収書がない場合、その旨明記した申立書（所定用紙なし）に上長承認（押印）がもらえればOKです。
領収書台紙に申立書と明細を添付し、ご提出下さい。
尚、クレジットカード明細は氏名・日付・ガソリン代が分かる箇所以外は不要です。
今後は必ず領収書をもらってください。"
18670,"国内出張について、ガソリン代を立て替えましたが、領収書を取り忘れました。
現金払いの為明細がないのですが、精算出来ますか？",国内出張時の領収書を紛失した場合には、「理由書」を作成のうえ、上長の承認をいただき、「領収書台紙」に添付し提出下さい。
18671,"国内出張で、客先へ行くときに利用したタクシーの領収書を紛失しました。
手帳にメモしてあるので日付・料金は分かるのですが、精算出来ますか？",国内出張時の領収書を紛失した場合には、「理由書」を作成のうえ、上長の承認をいただき、「領収書台紙」に添付し提出下さい。
18672,国内出張について、新幹線乗車券/特急券を購入する際、「領収書」の発行を忘れてしまいました。この場合精算は出来ますか？,"国内出張時に新幹線の領収書発行を忘れた場合について、乗車券金額は確認出来るため、その旨明記した申立書（所定用紙なし）に上長承認（押印）がもらえればOKです。領収書台紙に申立書を添付しご提出下さい。
今後は必ず領収書をもらってください。"
18673,"国内出張で、出張先のホテルをオンライン予約し、事前決済しました。
この場合、領収書は無くても精算出来ますか？","国内出張時の宿泊先のオンライン予約・事前決済を行っても、ホテル等の宿泊施設を利用した場合、領収書の添付は必須です。
"
18674,"国内出張について、2か月先の出張用に航空券を早割で購入しました。
領収書も持っています。出張前ですがすぐに精算出来ますか？","国内出張の前払精算について、「前払い」「仮払い」は行っておりません。
立替えた旅費については出張が終わってから申請をしてください。"
18675,"ビザ取得面接の為、東京勤務ですが、大阪へ行きました。
この場合の費用は、出張精算対象となりますか？","ビザ（VISA）申請（面接）のための費用については、以下の通りです。
1.海外に駐在で異動される方の場合・・・新幹線代のみ勘定科目9162国内出張旅費としてSAP立替精算となります。
2.海外出張で入出国の関係上、日本でのVISA取得が必要となる方の場合・・・国内出張旅費精算システムにて精算処理します。
なお、�については費用負担先が通常と異なる場合がありますのでご確認後、精算処理して下さい。"
18676,国内出張でレンタカー利用の際、個人のETCカードは使用出来ますか？,"国内出張時の個人のETCカードは利用可能です。
領収書の代わりとしてETC利用照会サービスから「ETC利用証明書」を印刷し、領収書台紙に添付のうえご提出下さい。"
18677,国内出張で、ETC利用の場合の精算方法はどうしたら良いですか？,国内出張時のETC利用の精算方法については、領収書の代わりとしてETC利用照会サービスから「ETC利用証明書」を印刷し、領収書台紙に添付のうえご提出下さい。
18678,国内出張する際、私有車で行くことは可能ですか？,"国内出張時に業務で私有車を使用するには、前もって申請が必要です。
詳細については次のTTCライブラリーでご確認下さい。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T047250?OpenDocument"
18679,国内出張で、自家用車（私有車社用許可願提出済）で有料道路・有料駐車場を利用した場合、精算方法はどうなりますか？,国内出張時に自家用車（私有車社用許可願提出済）で有料道路および駐車場を利用した場合の精算については、実費精算となります。旅費交通費（A9169）で立替金精算依頼書を作成もしくは国内出張旅費システムで国内出張旅費（A9162）で申請して下さい。
18680,国内出張について、自家用車のガソリン代の規定はありますか？,"国内出張時のガソリン代の規定については、「私有車使用規定」に明記されています。詳細については次のTTCライブラリーでご確認下さい。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/G012830?OpenDocument"
18681,"国内旅費精算について、３か月超の精算履歴を画面で内容を照会したいのですが、何か方法あるでしょうか。
","３か月超の国内旅費精算履歴の画面内容を照会したい方は、THR各拠店担当へ連絡して下さい。
"
18682,宿泊を含む国内出張の場合、移動のみの日については日当は支給なしになりますか？,"宿泊を含む国内出張の日当については、出発日から帰着日までが日当支給対象となります。
私用での宿泊を含む場合は業務をした日のみ日当支給となりますが、業務上必要であると判断して宿泊をした場合は、移動のみの場合も日当支給対象となります。"
18683,海外出張申請をしないで出張をしてしまった場合どうしたらいいですか？,海外出張申請をせずに出張した場合（ドラフト保存を含む）については、出張目的欄に「事後申請」と入力して申請してください。
