id,question,answer_id,answer_body
1350342,誤送信防止システムのインストールが出来ない,4432,"誤送信防止システムの利用についてですね。

使用しているメールアドレスのドメインは下記でしょうか？
　・　septeni.co.jp
　・　septeni-original.co.jp
　・　vasara.co.jp
　・　10005.co.jp
　・　highscore.co.jp"
1350343,誤送信防止システムを利用したい,4432,"誤送信防止システムの利用についてですね。

使用しているメールアドレスのドメインは下記でしょうか？
　・　septeni.co.jp
　・　septeni-original.co.jp
　・　vasara.co.jp
　・　10005.co.jp
　・　highscore.co.jp"
1350344,誤送信防止システムを使いたい,4432,"誤送信防止システムの利用についてですね。

使用しているメールアドレスのドメインは下記でしょうか？
　・　septeni.co.jp
　・　septeni-original.co.jp
　・　vasara.co.jp
　・　10005.co.jp
　・　highscore.co.jp"
1350345,akindoに接続できない,4434,"akindoへの接続についてですね。

今まで接続出来ていたにもかかわらず、急に接続できなくなりましたか？"
1350346,無線に接続できない,4434,"akindoへの接続についてですね。

今まで接続出来ていたにもかかわらず、急に接続できなくなりましたか？"
1350347,サイボウズにログインできない,4437,"サイボウズにログインできない状態ですね。

次の項目に当てはまるものはありますか？"
1350348,販管(SAP)のパスワードを忘れた,4441,"販管(SAP)のパスワードのお問い合わせですね。

使用しているPCの種類はなんですか？"
1350349,販管　パスワード　忘れ,4441,"販管(SAP)のパスワードのお問い合わせですね。

使用しているPCの種類はなんですか？"
1350350,販管　パスワード　初期化,4441,"販管(SAP)のパスワードのお問い合わせですね。

使用しているPCの種類はなんですか？"
1350351,拠点のIPアドレスが知りたい,4444,"拠点のIPアドレスのお問い合わせですね。

下記情報を情シスまでお送りください。
================================
【申請者情報】
会社名：
部署名：
氏名：
メールアドレス：

IPアドレス開示希望拠点：
開示目的：
　※具体的なサイト名など
開示期間：
　※キャンペーンなどで期間が決まっていればその期間を記入
　※期限がなく取引期間中であれば、「取引期間中」と記入

【IPアドレス開示先情報】
開示先：
開示先担当者名：
開示先担当者メールアドレス：
NDA締結有無：
================================


情シスML
itsystems@septeni-holdings.co.jp"
1350352,拠点のIPアドレスを教えてほしい,4444,"拠点のIPアドレスのお問い合わせですね。

下記情報を情シスまでお送りください。
================================
【申請者情報】
会社名：
部署名：
氏名：
メールアドレス：

IPアドレス開示希望拠点：
開示目的：
　※具体的なサイト名など
開示期間：
　※キャンペーンなどで期間が決まっていればその期間を記入
　※期限がなく取引期間中であれば、「取引期間中」と記入

【IPアドレス開示先情報】
開示先：
開示先担当者名：
開示先担当者メールアドレス：
NDA締結有無：
================================


情シスML
itsystems@septeni-holdings.co.jp"
1350353,プリンタードライバのインストールが出来ない,4445,"プリンタードライバーのインスール不具合ですね。

インストールしたいドライバが格納されているフォルダごとPCのデスクトップ上にコピーしていますか？"
1350354,PCを複数台使用したい,4447,"PCを複数台使用したいということですね。

Mgrもしくは部長以上の方に承認を得ていますか？"
1350355,PCを複数台利用したい,4447,"PCを複数台使用したいということですね。

Mgrもしくは部長以上の方に承認を得ていますか？"
1350356,パソコンを複数台利用したい,4447,"PCを複数台使用したいということですね。

Mgrもしくは部長以上の方に承認を得ていますか？"
1350357,パソコンを複数台使用したい,4447,"PCを複数台使用したいということですね。

Mgrもしくは部長以上の方に承認を得ていますか？"
1350358,Cドライブの容量が枯渇,4450,"Cドライブの容量が枯渇しているということですね。

当てはまる原因はありますか？"
1350359,PCの容量が枯渇,4450,"Cドライブの容量が枯渇しているということですね。

当てはまる原因はありますか？"
1350360,Cドライブの容量が不足,4454,"Cドライブの容量が不足しているということですね。

当てはまる原因はありますか"
1350361,Cドライブ　容量不足,4454,"Cドライブの容量が不足しているということですね。

当てはまる原因はありますか"
1350362,パソコン　容量不足,4454,"Cドライブの容量が不足しているということですね。

当てはまる原因はありますか"
1350363,ハードディスク　容量不足,4454,"Cドライブの容量が不足しているということですね。

当てはまる原因はありますか"
1350364,HDD　容量不足,4454,"Cドライブの容量が不足しているということですね。

当てはまる原因はありますか"
1350365,複数のメールアドレスのアカウントが欲しい,4455,"複数のメールアドレスのアカウントが欲しいとのことですね。

アカウント発行申請書を提出してください。"
1350366,メールアドレス　複数,4455,"複数のメールアドレスのアカウントが欲しいとのことですね。

アカウント発行申請書を提出してください。"
1350367,Gmail アドレス　複数,4455,"複数のメールアドレスのアカウントが欲しいとのことですね。

アカウント発行申請書を提出してください。"
1350368,Gmail アドレス　もう一つ欲しい,4455,"複数のメールアドレスのアカウントが欲しいとのことですね。

アカウント発行申請書を提出してください。"
1350369,マウスが壊れた,4530,"マウスが壊れたとのことですね。

☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　�@PC番号（PC本体のシールで確認できます）
  　�Aマウスの状態（なるべく具体的に）
  　�B他メンバーのPCで壊れたマウスが使えるか"
1350370,マウス故障,4530,"マウスが壊れたとのことですね。

☆ノートPC用マウスの場合
 
  　代替マウスがあるので
壊れたマウスをご持参の上、情シスまでお越し下さい。
 　　マウスは1個700円で購入した物です！　壊さないように、大事にお取り扱い下さい！
 ☆デスク用マウスの場合
  　まずは情シスにご連絡下さい。
  　宛先：itsystems@septeni-holdings.co.jp
  　こちらで知りたい情報は以下になります。
  　�@PC番号（PC本体のシールで確認できます）
  　�Aマウスの状態（なるべく具体的に）
  　�B他メンバーのPCで壊れたマウスが使えるか"
1350371,マウス破損,4458,"マウスが故障したとのことですね。

状況を教えてください。"
1350372,マウス交換,4459,"マウスを交換したいとのことですね。

状況を教えてください。"
1350373,共有フォルダにアクセスできない,4610,"共有フォルダにアクセスできないとのことですね。

1.インターネットが使用可能か？ 
→使用不可の場合は共有サーバーもご利用いただけません。
 　インターネットへの接続を確認してください。 

2.ユーザー認証を問われているか？ 
→ユーザー認証はWindousログイン時と同じIDとパスワードになります。 
 
3.再起動は試したか？ 
→再起動で改善される場合があります。 
 
4.どこの共有サーバーに入れないのか？ 
→プログラムとファイルの検索から該当フォルダを検索　
 　右クリックプロパティのセキュリティタブよりアカウントの確認。 
 
自分がアクセス権限を持っているかどうかを情シスまでお問い合わせ下さい。
アクセス権限がない場合はアクセスできません。
業務上アクセスする必要がある場合は、
アクセス権限設定依頼書を提出して下さい。
 
 
5.それでも入れない場合
→エラーメッセージは表示されている場合はどのようなメッセージか
情シスまでお問い合わせ下さい。

情シスML
itsysytems@septeni-holdings.co.jp"
1350374,共有フォルダ　アクセス,4460,"共有フォルダにアクセスが出来ないとのことですね。

状況を教えてください。"
1350375,metalにアクセスできない,4460,"共有フォルダにアクセスが出来ないとのことですね。

状況を教えてください。"
1350376,リモートVPN接続が出来ない,4468,"リモートVPN接続が出来ないとのことですね。

当てはまるものはありますか？"
1350377,リモートアクセスが出来ない,4472,"リモートアクセスが出来ないとのことですね。

当てはまるものはありますか？"
1350378,VPN接続が出来ない,4473,"VPN接続が出来ないとのことですね。

当てはまるものはありますか？"
1350379,海外出張の際にPCを持っていきたい,4474,"海外出張の際にPCを持っていきたいとのことですね。

情シスにPC保険の連絡は済んでいますか？"
1350380,海外出張　PCを持出し,4474,"海外出張の際にPCを持っていきたいとのことですね。

情シスにPC保険の連絡は済んでいますか？"
1350381,MLが届かない,4478,"登録したMLが届かないとのことですね。

当てはまるものはありますか？"
1350382,メーリングリストが届かない,4478,"登録したMLが届かないとのことですね。

当てはまるものはありますか？"
1350383,PCが破損しました,4480,"PCが破損したとのことですね。

どこが破損していますか？"
1350384,PC　破損,4480,"PCが破損したとのことですね。

どこが破損していますか？"
1350385,パソコン　破損,4480,"PCが破損したとのことですね。

どこが破損していますか？"
1350386,パソコン　壊れた,4480,"PCが破損したとのことですね。

どこが破損していますか？"
1350387,PCが不具合を起こしています,4484,"PCが不具合を起こしているとのことですね。

どのような不具合ですか？"
1350388,PC　不具合,4484,"PCが不具合を起こしているとのことですね。

どのような不具合ですか？"
1350389,パソコン　不具合,4484,"PCが不具合を起こしているとのことですね。

どのような不具合ですか？"
1350390,パソコン　調子が悪い,4484,"PCが不具合を起こしているとのことですね。

どのような不具合ですか？"
1350391,OfficeファイルをPDF化したい,4489,"OfficeファイルをPDF化したいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=49"
1350392,OfficePDF化,4489,"OfficeファイルをPDF化したいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=49"
1350393,PDF　保存,4489,"OfficeファイルをPDF化したいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=49"
1350394,IDシステム導入前の事前設定（5_販管(SAP)利用手順）,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350395,SAP　利用　手順,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350396,SAP　使用　手順,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350397,販管　利用　手順,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350398,販管　使用　手順,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350399,販売管理　使用　手順,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350400,販売管理　利用　手順,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350401,販売管理　設定,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350402,SAP　設定,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350403,販管　設定,4491,"SAPの利用手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=258"
1350404,IDシステム導入後の設定（Gメールログイン手順.pdf）,4492,"Gメールログイン手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=248"
1350405,Gメール　設定,4492,"Gメールログイン手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=248"
1350406,Gmail　設定,4492,"Gメールログイン手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=248"
1350407,Gmail　手順,4500,"Gメールの使い方ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=117"
1350408,Gメール　手順,4492,"Gメールログイン手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=248"
1350409,Gmail　使いたい,4492,"Gメールログイン手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=248"
1350410,Gメール　使いたい,4492,"Gメールログイン手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=248"
1350411,無線設定したのに(akindo・hinerankai-7)繋がらない,4493,"無線設定したにも関わらず、接続が出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=46"
1350412,akindo　繋がらない,4494,"akindoに接続できないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=46"
1350413,hinerankai-7　繋がらない,4495,"hinerankai-7に接続できないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=46"
1350414,無線　繋がらない,4495,"hinerankai-7に接続できないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=46"
1350415,サイボウズのパスワードの変更をしたい（社外の場合）,4496,"社外にいる時にサイボウズのパスワード変更をしたいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=245"
1350416,サイボウズ　パスワード変更,4497,"サイボウズのパスワード変更をしたいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=245"
1350417,ガルーン　パスワード変更　手順,4497,"サイボウズのパスワード変更をしたいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=245"
1350418,SFTS2の使い方を知りたい,4498,"SFTS2の使い方が知りたいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=23"
1350419,SFTS2　使い方,4498,"SFTS2の使い方が知りたいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=23"
1350420,SFTS2　利用,4498,"SFTS2の使い方が知りたいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=23"
1350421,IDシステム導入前の事前設定（6_CRM利用手順）,4499,"CRMの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=259"
1350422,CRM　使いたい,4499,"CRMの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=259"
1350423,CRM　設定,4499,"CRMの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=259"
1350424,CRM　手順,4499,"CRMの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=259"
1350425,Gメールの使い方,4500,"Gメールの使い方ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=117"
1350426,Gmail　利用,4500,"Gメールの使い方ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=117"
1350427,社外からサイボウズ利用,4501,"社外からサイボウズを利用したいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=250"
1350428,社外　ガルーン　アクセス,4501,"社外からサイボウズを利用したいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=250"
1350429,社外　サイボウズ　アクセス,4501,"社外からサイボウズを利用したいとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=250"
1350430,販管で文字を入力しても一文字ずつしか入力できない,4502,"販管で一文字ずつしか文字が入力できないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=264"
1350431,販管　文字入力,4502,"販管で一文字ずつしか文字が入力できないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=264"
1350432,SAP　文字入力,4502,"販管で一文字ずつしか文字が入力できないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=264"
1350433,販管のログインパスワードを忘れた,4503,"販管のログインパスワードを忘れたのですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=42"
1350434,販管　パスワード忘れ,4503,"販管のログインパスワードを忘れたのですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=42"
1350435,SAP　パスワード忘れ,4503,"販管のログインパスワードを忘れたのですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=42"
1350436,「KUNAI for iPhone」「KUNAI for Android」の設定方法を知りたい。,4504,"KUNAIの設定方法ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=9"
1350437,KUNAIの設定方法,4504,"KUNAIの設定方法ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=9"
1350438,くないの設定方法,4504,"KUNAIの設定方法ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=9"
1350439,iPhone　サイボウズ,4504,"KUNAIの設定方法ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=9"
1350440,携帯　サイボウズ,4504,"KUNAIの設定方法ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=9"
1350441,【Mac】販管を利用したい,4505,"macでの販管利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=172"
1350442,Mac　販管利用,4505,"macでの販管利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=172"
1350443,Mac　SAP　利用,4505,"macでの販管利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=172"
1350444,Mac　販管使用,4505,"macでの販管利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=172"
1350445,Mac　SAP　使用,4505,"macでの販管利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=172"
1350446,Mac　SAP　手順,4505,"macでの販管利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=172"
1350447,Mac　SAP　設定,4505,"macでの販管利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=172"
1350448,サイボウズにアクセスできない,4506,"サイボウズにアクセスが出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=246"
1350449,ガルーン　アクセス　できない,4506,"サイボウズにアクセスが出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=246"
1350450,IDシステム導入後の設定（2_PW変更.pdf）,4507,"IDシステムのパスワード変更についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=237"
1350451,IDシステム　PW　変更,4507,"IDシステムのパスワード変更についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=237"
1350452,IDシステム　パスワード　変更,4507,"IDシステムのパスワード変更についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=237"
1350453,パスワード　変更,4507,"IDシステムのパスワード変更についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=237"
1350454,IDシステム導入後の設定（3_サイボウズ.pdf）,4508,"サイボウズ利用の手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=238"
1350455,サイボウズ　設定　手順,4508,"サイボウズ利用の手順についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=238"
1350456,IDシステム導入後の設定（4_勤怠管理システム.pdf）,4509,"勤怠管理システムの利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=239"
1350457,勤怠管理　設定　手順,4509,"勤怠管理システムの利用についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=239"
1350458,Gメールにアクセスできない,4510,"Gメールにアクセスが出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=256"
1350459,メール　ログイン　出来ない,4510,"Gメールにアクセスが出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=256"
1350460,メール　アクセス　不可,4510,"Gメールにアクセスが出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=256"
1350461,メール　ログイン　不可,4510,"Gメールにアクセスが出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=256"
1350462,メール　入れない,4510,"Gメールにアクセスが出来ないとのことですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=256"
1350463,id.septeni-holdings.co.jpにアクセスしています…と表示される。,4511,"サイボウズの認証画面が表示されており、ユーザー名を求められているのですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=241"
1350464,id.septeni-holdings.co.jp,4511,"サイボウズの認証画面が表示されており、ユーザー名を求められているのですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=241"
1350465,サイボウズ　認証画面,4511,"サイボウズの認証画面が表示されており、ユーザー名を求められているのですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=241"
1350466,販管の文字入力モードを変更,4512,"販管の文字入力変更についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=267"
1350467,SAP 入力モード　変更,4512,"販管の文字入力変更についてですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=267"
1350468,IDシステム導入前の事前設定（7_せぷめーる利用手順）,4513,"せぷめーるの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=260"
1350469,せぷめーる　利用　手順,4513,"せぷめーるの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=260"
1350470,せぷめーる　設定,4513,"せぷめーるの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=260"
1350471,ML 利用　手順,4513,"せぷめーるの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=260"
1350472,ML 設定,4513,"せぷめーるの利用手順ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=260"
1350473,IDシステム導入前の事前設定（1_事前設定.pdf）,4514,"IDシステムの事前設定ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=236"
1350474,システム　設定,4514,"IDシステムの事前設定ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=236"
1350475,ブラウザ　設定　方法,4514,"IDシステムの事前設定ですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=236"
1350476,販管にログインが出来ない,4515,"販管にログインが出来ないのですね。

情シスFAQサイトに解決方法が載っていますので、下記のURLより参照をお願いします。
http://faq.septeni.jp/index.php?doc_no=234"
