id,question
8042,Outlook2010のアドレス帳に”（モバイル）”と付くアドレス帳が多数表示される。表示されないように設定を教えて欲しい。
8043,携帯のメールアドレスにてメーリングリストを作成し、携帯からメール送信したい。対応可能か教えてほしい。
8044,Outlook2010の英語版を利用しているが、ダイキン設定は存在するか教えて欲しい。
8045,Ouｔlook2010にて、 アカウントを設定したが、Ouｔlookを起動すると前の方のメールパスワードを求められる。
8046,Outlook2010起動時、McAfeeのアドインメッセージが表示された、「はい」と「いいえ」の選択を求められている。対応方法を教えて欲しい。
8047,"Outlook2010にて、メール本文作成時に数字を入力後、文章を入力しEnterを実行すると次の行に数字が表示され、メールが書きにくいので、解除方法を教えてほしい。
"
8048,サーバから利用者宛にメールを送付したいが、メール送信する際に制限があるのか教えて欲しい。3000件程のメールを送信することが可能か教えて欲しい。
8049,Outlook2010にて、別の方のメールアカウントを作成した。メールアカウントを削除を選んでもエラーメッセージが表示され削除できない。
8050,iPadからメールが受信がされなくなった。対処方法を教えて欲しい。
8051,IE11のインストールメディアはどのような種類がありますか？ 
8052,IE11のインストールメディアはどこから入手できますか？ 
8053,IE11のインストールメディアはインストールメディアは返却が必要ですか？ 
8054,WindowsサーバでもIE11のバージョンアップが必要ですか？ 
8055,IE11のインストール完了後、DKI_WORKフォルダは削除してもいいですか？
8056,"日本語ＯＳを使用していますが、IE11インストール作業中に
""This is for Japanese.To install please contact DKI Support(7-205-413)""と表示されました。 "
8057,"IE11インストールした際のログインユーザ名と実際に利用するログインユーザ名が違いますが
何か設定が必要でしょうか？
例)インストールした時のID：daikin、利用する時のID：c-daikinta"
8058,"IE11のインストール作業中に、""InternetExplorer11のインストールに失敗しました。
ダイキン情報システム インフラGr(7-205-413)まで連絡ください。""と表示されました。 "
8059,IE11のアップデートは終わりましたが、EDENが使用できません。 
8060,IE11のアップデート後、EDENの印刷機能が使用できません。 
8061,IE11のインストーラが欲しい
8062,IE11をインストイールするために、Windows7のSP１をインストールしたい。
8063,"IE11のインストーラを実行したが、以下エラーメッセージが表示されインストーラが終了する。

This installer is for Japanese.
To install please contact DKI Support(7-205-413）"
8064,IE11バージョン確認画面で、自動的に新しいバージョンインストールするに　チェックが入っているが良いですか？
8065,IE11にてEDEN/Plusで使おうとすると『インターネットエクスプローラをご利用ください。』という表示され、起動できません。
8066,IE11インストールのダイキン設定とはどういう設定が適用されるのか。
8067,Windows 64bit端末にて、IE11をインストールしたいが、64bitフォルダの中身を個別で実行する必要はありますでしょうか。
8068,"IE11インストーラを実行時、以下のメッセージが表示されインストールができない。
”Internet Explorer 11 のインストールに失敗しました。
ダイキン情報システム インフラGr(7-205-413)までご連絡下さい。”
"
8069,IE11を起動した際、初期設定のメッセージが表示される。
8070,IE11のインストーラはどのように配信されるのか。
8071,IE11のエンタープライズモードが適用されているか確認方法を教えて欲しい。
8072,IE11にてReportvviewer?を開くとアドオンのインストールが求められる
8073,端末に｢DKI_Workフォルダ｣がないが、別の端末から｢DKI_Workフォルダ｣をコピーし、IE11インストーラを利用して問題ないか。
8074,IE11から印刷すると、プリンタのプロパティ画面で固まる。プリンタのプロパティ画面が開いた後は、全くマウスに反応せず、画面を閉じることもできなくなった。
8075,IE11のインストールメディアを送付してほしい。
8076,IE11インストール後に、Daina-Web（Technical Document Library）の画面が表示されない。
8077,IE11にて、EDEN/PLUSをクリックすると何も表示されません。
8078,IE11のインストーラを実行すると”部門利用している全システムのInternet Explorer 11 への対応が完了していない場合はインストールを中止（キャンセルボタンをクリック）して下さい。”のメッセージが表示される。
8079,IE11のインストール完了後、アドオンの設定が表示されたが、対処方法を教えて欲しい。
8080,McAfeeのバージョンを確認するため、対応方法を教えて欲しい。
8081,McAfeeのウイルススキャン対象の除外設定を教えて欲しい。
8082,メール送信時のMcAfeeの除外設定を教えて欲しい。
8083,McAfeeのWindows Server 2008 32bit対応を教えて欲しい。
8084,McAfeeのアイコンを右クリックした際、「セキュリティステータスの表示」！マークが表示されるが対処方法を教えて欲しい。
8085,McAfeeの手動更新に失敗するため、対処方を教えて欲しい。
8086,McAfeeのアイコンを右クリックした際、「セキュリティステータスの表示」！マークが表示される。対処方法を教えて欲しい。
8087,IT資産管理の情報収集ツールとは何ですか？
8088,IT資産管理はどんな情報が収集されますか？
8089,IT資産管理の情報収集ツールにはどんなものがありますか？
8090,IT資産管理の自動情報収集ツールをインストールする対象は？
8091,IT資産管理の自動情報収集ツールをインストールできる環境は？
8092,IT資産管理の自動情報収集ツールがインストールできているか確認する方法は？
8093,IT資産管理の自動情報収集ツールをインストールしましたが、アイコンが表示されません。
8094,IT資産管理のセットアップ時など、仮のIPアドレスを使用しているときに、自動情報収集ツールをインストールしても問題ありませんか？
8095,IT資産管理の自動情報収集ツールが、PCやネットワークの負荷になることがありますか？
8096,IT資産管理の自動情報収集ツールインストール後、PCの動作が重くなりました。
8097,IT資産管理の自動情報収集ツールのアンインストール方法は？
8098,IT資産管理の収集した情報はどこで確認できますか？
8099,IT資産管理システムを利用できるのは誰ですか？
8100,ＩＴ資産管理担当者が情報を確認したい。
8101,IT資産管理システムを使用するために必要な環境は？
8102,IT資産管理のハードウェア資産台帳で、PCの状態を「廃棄済」にするとどうなりますか？
8103,IT資産管理の資産情報をエクスポートできますか？
8104,IT資産管理のハードウェア資産のインポート用フォーマットでエクスポートできますか？
8105,IT資産管理の資産のリストをインポートして一括登録はできますか？
8106,IT資産管理の購入ライセンス登録で、「証書の種類」や「ライセンス証明媒体」には何を登録すればよいですか？
8107,IT資産管理の各一覧画面に参照したい項目がありません。変更できませんか？
8108,IT資産管理のハードウェアやソフトウェアのデータをエクスポートできますか？
8109,IT資産管理の複数資産のデータを更新したいのですが、一括更新はできますか？
8110,IT資産管理のハードウェアを登録するためにどんな情報が必要ですか？
8111,PCをハードウェア資産登録したいのですが、遠隔地にあるハードウェアの製造番号が分かりません。また近くにあったとしても1台1台確認できません。
8112,IT資産管理のIP台帳にIPアドレスを追加したい
8113,IT資産管理の「ハードウェア資産」に廃棄・リースアウトしたＰＣがあります。削除すればよいのでしょうか？
8114,IT資産管理にて、廃棄・リースアウトしたPCの自動取得情報が残っています。削除できないのですか？
8115,IT資産管理にて、使用しないで保管しているPC（廃棄待ちなど）はどのように管理すればよいでしょうか？
8116,IT資産管理にて、廃棄したPCの自動取得情報が残っています。削除されないのでしょうか？
8117,IT資産管理のために何を登録・管理する必要がありますか？
8118,IT資産管理システムを使用すれば自動で管理されるようになるのですか？
8119,IT資産管理にて、ソフトウェアをインストール・アンインストールしても資産管理の画面に反映されません
8120,IT資産管理にて、IP台帳や自動取得情報で最終ログインユーザの名前が表示されません。
8121,IT資産管理システムにログインできません。
8122,IT資産管理にて、Officeのライセンスを棚卸ししたいが、手順書を教えて欲しい。
8123,IT資産管理にて、Officeライセンスを棚卸ししたいが、インストールされているソフトの確認方法を教えて欲しい。
8124,IT資産管理 管理者一覧の内容を変更したい。
8125,ダイキンVPN接続キーをインストール、”実行可能期限を過ぎています。”のメッセージが表示される。
8126,ダイキンVPNのインストールにて、”Cisco System VPN Clientがインストールされていません。インストール処理を中止します。”のメッセージが表示される。
8127,ダイキンVPNを使用時にて、”The VPN connection failed due to unsuccessful domain name resolution.”のメッセージが表示される。
8128,ダイキンVPNを使用時にて、”AnyConnect was not able to establish a connection to the specifed secure　gateway. Please try connecting agai.”のメッセージが表示される。
8129,ダイキンVPNを使用時にて、”エラー（理由）414と表示”のメッセージが表示される。
8130,ダイキンVPNを使用時にて、”The VPN client agent was unable to create the interprocess communication depot.”のメッセージが表示される。
8131,"外部業者が利用している端末でWindows10にてWindowsのパッチを適用したあと、プロダクトIDが変わった。""のメッセージが表示される。"
8132,"ダイキンVPNを使用時にて、""Connection attempt failed. Please try again.""のメッセージが表示される。"
8133,暗号化ツール（Pointsec）　にて、暗号化を行うにはどのようにすれば良いですか？
8134,暗号化ツール（Pointsec）　の暗号化方式は？
8135,暗号化ツール（Pointsec）　にて、製品として何か認定を受けていますか？（第三者機関による認定）
8136,暗号化ツール（Pointsec）　が暗号化をする範囲を教えてください。
8137,暗号化ツール（Pointsec）　にて、データの一部が破損した場合にPointsecをインストールしている環境の方が大きな影響となりますか？
8138,暗号化ツール（Pointsec）　の注意・制限事項は？
8139,暗号化ツール（Pointsec）　の対応OS、対応機種を教えてください。
8140,暗号化ツール（Pointsec）　の「シングルサインオン」とはどのような機能ですか？
8141,暗号化ツール（Pointsec）　インストール後、パーティション（HDの容量分割）の削除を行った場合はどうなりますか？
8142,暗号化ツール（Pointsec）　インストール後、パーティション（HDの容量分割）サイズの変更は出来ますか？
8143,暗号化ツール（Pointsec）　リカバリファイル（OS再インストール用ファイル）のバックアップは必ず必要なのですか？
8144,暗号化ツール（Pointsec）　リカバリファイル（OS再インストール用ファイル）はどのような名前ですか？
8145,暗号化ツール（Pointsec）　リカバリファイル（OS再インストール用ファイル）をバックアップしていませんが、万が一の復旧は可能ですか？
8146,暗号化ツール（Pointsec）　によるシステムへの負荷はありますか？
8147,暗号化ツール（Pointsec）　の暗号化によってデータのサイズが大きくなることはありますか？
8148,暗号化ツール（Pointsec）にて、ディスク暗号化とファイル暗号化を使用した場合、二重に暗号化がかかることになりますか？
8149,暗号化ツール（Pointsec）にて、指紋認証やICカード認証によるログインとの併用は可能ですか？
8150,暗号化ツール（Pointsec）にて、BIOSパスワード（HDDパスワード）と併用することは出来ますか？
8151,暗号化ツール（Pointsec）にて、パソコンの暗号化処理中にOSのシャットダウン／再起動は可能ですか？
8152,暗号化ツール（Pointsec）にて、Linuxなどには対応していますか？
8153,暗号化ツール（Pointsec）にて、集中購買機ではなく部門で独自にパソコンを購入する場合に、気を付けておくべきことはありますか？
8154,暗号化ツール（Pointsec）されている端末で、Norton Ghostなどは使用できますか？
8155,暗号化ツール（Pointsec）されている端末で、HDの容量分割をするソフトは使用できますか？
8156,暗号化ツール（Pointsec）されている端末で、サードパーティー社製の「ブートローダ」は使用できますか？
8157,暗号化ツール（Pointsec）インストールすると使用できないソフトはありますか？
8158,暗号化ツール（Pointsec）インストールはどのように行いますか？
8159,暗号化ツール（Pointsec）インストールを行う上での準備は必要ありますか？
8160,２つ以上のOSをいれたパソコンに暗号化ツール（Pointsec）をインストールできますか？
8161,VMWare（バーチャルPCソフト）上のOSに暗号化ツール（Pointsec）インストールして使用できますか？
8162,暗号化ツール（Pointsec）をインストールしたままで、アプリケーションのインストールは可能ですか？
8163,暗号化ツール（Pointsec）をインストールしたままで、Windowsのセキュリティパッチやサービスパックは適用可能ですか？
8164,暗号化ツール（Pointsec）をインストールしたままで、Windowsのアップグレードは可能ですか？
8165,暗号化ツール（Pointsec）をインストールしたままで、Windowsのクリアインストールは可能ですか
8166,暗号化ツール（Pointsec）のリカバリFDとは何でしょうか
8167,暗号化ツール（Pointsec）インストールしましたが、暗号化が開始しません。
8168,"暗号化ツール（Pointsec）のIDに ""_"" (アンダースコア) が入力出来ず、ログインできません。"
8169,暗号化ツール（Pointsec）にて、暗号化の途中でエラーが表示され、進捗しなくなりました。
8170,暗号化ツール（Pointsec）のパスワードを忘れました。PCが起動出来ません。
8171,暗号化ツール（Pointsec）のアカウントがロックしました。PCが起動出来ません。
8172,暗号化ツール（Pointsec）のユーザIDを忘れました。どうすれば良いでしょうか？
8173,暗号化ツール（Pointsec）されている端末で、Windowsのログオン用アカウントを忘れました。
8174,暗号化ツール（Pointsec）のアカウント（ID/パスワード）と、Windowsのアカウントは同じにする必要がありますか？
8175,暗号化ツール（Pointsec）のパスワードをロックされた。対処方法を教えて欲しい。
8176,暗号化ツール（Pointsec）のパスワードを忘れてしまった。対処方法を教えて欲しい。
8177,暗号化USBが不要になり廃棄したいので、対応方法を教え欲しい。
8178,複合機のプリンタドライバをインストールしたが、印刷できない。対処方法を教えて欲しい。
8179,複合機からジョブは飛んでいるが、印刷ができない。対処方法を教えて欲しい。
8180,端末を入替えてから、複合機から印刷できない。対処方法を教えて欲しい。
8181,共有端末から氏名コードを入力したが、複合機から印刷がされない。
8182,英語OSで部門の複合機を利用したいので手順書が欲しい。
8183,端末にDNSサフィックス、ＤＮＳサーバＩＰアドレスについて設定方法を教えて欲しい。
8184,Windows7端末にDNS設定をしたいが設定方法を教えて欲しい。
8185,別端末へリモートデスクトップから接続したが、設定方法を教えて欲しい。
8186,ファイルをPDF化したいが、対応方法を教えてほしい。
8187,ネットワークの設定にはホーム／社内／パブリックがありますが、どれを選択すればよいでしょうか？ 
8188,ネットワークの設定にて、IPv6の設定は必要ですか？ 
8189,端末にて、Administratorユーザがありません。 
8190,Windows7社内標準のバージョンを教えてください。 
8191,ServicePackの適用は必要ですか？ 
8192,McAfeeをインストールしましたが、タスクバーの右下にアイコンが表示されません。
8193,McAfeeでウイルスが検出されたが対処方法を教えて欲しい。
8194,"端末へMcAfeeのAgentをインストールした際、「インストールに失敗しました」のメッセージが表示されインストールできない。
"
8195,"
端末からメールを自動配信するが、McAfeeにてメール送信がブロックされる。
解除方法を教えて欲しい。
"
8196,McAfeeのバージョンが古いため、バージョンアップする方法を教えて欲しい。
8197,不審なメールの添付ファイルをプレビューで開いたが対処方法を教えて欲しい。
8198,McAfeeからポリシーの施行を実施すると、”epoサーバが見つかりません。”のエラーメッセージが表示される。
8199,McAfeeのアイコンが通常と違うアイコンが表示されている。
8200,McAfeeのバージョンアップを実施したが、DATが最新に更新されない。
8201,McAfeeのバージョンアップ情報を確認したい。
8202,WindowsXPでVPNを使用していました。同じソフトをWindows7でも流用できますか？
8203,64bit版WindowsでVPNを使用できますか？
8204,"ＶＰＮをパスワードが不明なため教えて欲しい。、
"
8205,VPNのアカウントに設定されているIPアドレスを教えて欲しい。
8206,"VPNをインストールしたが、起動時”Unｔｒusted VPN Server Blocked!”エラーメッセージが表示される。
"
8207,VPNキーを再発行して欲しい。
8208,Docomo Xiを利用しVPN接続できない。
8209,"Windows10の端末を利用しているが、VPNキーを再発行して欲しい。

"
8210,WindowsXPでPointsecを使用していました。同じソフトをWindows7でも流用できますか？
8211,WindowsXPにoffice2010インストール可能ですか？
8212,office2010のライセンス認証はどこからすればよいのでしょうか？
8213,Office2000ユーザーから、Office2010で作成したOffice文書を開けないと言われました。
8214,取引先からOffice2010形式の文書を受け取りました。Office2000を使用していますが、開くことは可能でしょうか？
8215,パソコンからoffice製品を開くと、ExceｌやWordが起動されるまでに10秒から20秒ほどかかる場合がある。
8216,メールの添付ファイルにてoffice製品を開くと、ExceｌやWordが10秒から20秒ほどかかる場合がある。
8217,端末にて全社AD参加後、office製品ExceｌやWordが保存できなくなった。
8218,ネットワーク上のPDFがブラウザ上に表示されます。AdobeReaderで表示させるにはどうすればよいですか？
8219,サイトからAdobeインストーラをダウンロードしましたが、インストールがエラーになります。
8220,Adobe Reader　DCをインストールしても良いでしょうか？
8221,"
EDENで伝票印刷ができない,対処方法を教えて欲しい。"
8222,端末が英語OSの場合はAdobeReaderのアップグレードはどのように対処するか教えて欲しい。
8223,AdobeReadeのアップデータの設定はどうすればいいのか教えて欲しい。
8224,端末にAdobe Reader DCが入っているがそのまま利用しても問題ないか。
8225,ITセキュリティガイドラインの内容を確認する方法を教えて欲しい。
8226,ITインフラガイドラインの内容を確認する方法を教えて欲しい。
8227,文書管理システム（Livelink）のインストールは自分でしないといけませんか？
8228,文書管理システム（Livelink）バージョンアップに伴い、制限事項等ありますか？
8229,端末をリプレースした場合、文書管理システム（Livelink）を再インストールするにはどうすれば良いですか？
8230,文書管理システム（Livelink）にてメールやHPに記載されているURLは今まで通り見れますか？
8231,文書管理システム（Livelink）バージョンアップに伴いLivelinkの操作性に変更はありますか？
8232,文書管理システム（Livelink）がSS1で配信されたかどうかの確認方法はありますか？
8233,文書管理システム（Livelink）をインストール完了後、利用者側で設定が必要ですか？
8234,2017年1月5日(木)以降、現在利用している文書管理システム（Livelink）は使えますか？
8235,文書管理システム（Livelink）バージョンアップにの告知は出ているのですか？
8236,VPN接続時に文書管理システム（Livelink）ファイルのURLをクリックすると認証画面が表示されます。
8237,文書管理システム（Livelink）の権限の編集中に認証画面が表示されます。
8238,文書管理システム（Livelink）にて、「Livelinkサーバとの接続を確立できません。HTTPサーバによってアクセスが拒否されました」、「一般的なエラーが発生しました」というエラーメッセージが表示されました。
8239,文書管理システム（Livelink）のユーザIDとパスワードが不明になった。
8240,ピーマンProのCDが起動しない。 
8241,ピーマンProの起動画面が表示された後、画面が真っ黒になり処理が進まない。
8242,ピーマンProでHDDを認識しない。 
8243,英語版のピーマンProはありますか？ 
8244,ピーマンProにてフォーマットにはどの程度の時間が掛るのでしょうか？ 
8245,ピーマンProをCD媒体で送って欲しい。 
8246,ピーマンProで消去できない場合は、どうすれば良いですか？ 
8247,ピーマンProにて、消去実行後エラーが表示されました。 
8248,ピーマンProにて、一部のディスク、外付けHDDを消去する機能はなくなってしまったのでしょうか？
8249,ピーマンProが起動しないため、データ消去できない。
8250,ピーマンProの最新版CDが欲しい。
8251,迷惑メールとは何ですか？ 
8252,[SPAM]フォルダの未読メッセージ数が増えませんが、私は本当に迷惑メールを受信していないのでしょうか？
8253,なぜ迷惑メールが届きますか？ 
8254,迷惑メールフィルタはどのような仕組みで動いていますか？ 
8255,[SPAM]フォルダに必要なメールが入っています。どうすればよいですか？ 
8256,迷惑メールなのに迷惑メールと判別されていません。どうすればよいですか？ 
8257,迷惑メールと誤って判別されたメールを返信しようとすると、件名が「Re. [SPAM]〜」となります。どうすればよいですか？ 
8258, [SPAM]フォルダを誤って削除してしまいました。どうすればよいですか？  
8259,[SPAM]フォルダ内の迷惑メールは手動で削除しても問題ないのでしょうか？ 
8260,長期休暇のためメールのチェックができないため、14日間での自動削除を解除してほしいのですが。 
8261,e-DKI 暗号メールとは何ですか。宅配メールとは、何が違うのですか。
8262,e-DKI 暗号メールの預かり通知とは何ですか。
8263,e-DKI 暗号メールの控え通知とは何ですか。
8264,e-DKI 暗号メールの預かり通知のURLと、控え通知のURLは、同じ物ですか。
8265,e-DKI 暗号メールの控え通知にアクセスすると、添付ファイルを削除するボタンがついています。相手先の方の画面でも同じように削除ボタンがついているのでしょうか。
8266,複数の人に同時にe-DKI 暗号メールを送りましたが、相手先の預かり通知のURLは、同じ物ですか。
8267,"複数の人（AさんとBさん）に同時にe-DKI 暗号メールを送りました。Aさんが添付ファイルのダウンロードを3回行ってしまうと、Aさんだけではなく、Bさんも、ダウンロードができなくなるのでしょうか。
"
8268,e-DKI 暗号メールにて、相手先の方が、預かり通知（URL）を紛失されたようです。私（送信者）の控え通知（URL）を転送してあげてもいいですか。
8269,e-DKI 暗号メールの預かり通知のパスワードと、控え通知のパスワードは、同じ物ですか。
8270,e-DKI 暗号メールにて、相手先の方が、預かり通知（パスワード）を紛失されたようです。私（送信者）の控え通知（パスワード）を転送してあげてもいいですか。
8271,e-DKI 暗号メールにて、控え通知のURLにアクセスしましたが、パスワード認証画面の表示無く、添付ファイルのページが開きます。これでよろしいのでしょうか。
8272,社内の人だけにe-DKI 暗号メールを送りたいのですが、この社外向けシステムを使用しても良いですか。
8273,e-DKI 暗号メールとは何ですか？
8274,私の会社からも、e-DKI 暗号メールを使ってメールを送りたいのですが、可能ですか？
8275,e-DKI 暗号メールにて、預かり通知(URL)を削除してしまいました。どうしたらいいでしょうか？
8276,e-DKI 暗号メールにて、預かり通知（パスワード）を削除してしまいました。どうしたらいいでしょうか？
8277,e-DKI 暗号メールにアクセスすると、「ファイルが見つかりません。有効期限切れか、アドレスが間違っています。有効期限とアドレスを再度、ご確認下さい。」というエラーメッセージが表示されます。
8278,e-DKI 暗号メールのページ上部にメッセージが表示され、ダウンロードできません。どうしたらいいでしょうか？
