id,question,answer,question_answer_id,bot_id
3186906,赴任中に一時帰国して病院で診療を受けた場合の料金は、会社負担ですか？,日本国内では、健康保険証を使い、個人負担（3割）となります。,13322,13
3186907,帰任時の引越代はどこの負担ですか？,海外店の負担になります。,13323,13
3186908,海外駐在中、健保証はどこに保管してあるの？,保険証は会社では預かってないので、ご自宅をお探しください。紛失されてる場合は、再発行の手続きを健保に申請ください。,13324,13
3186909,帰国後健康診断はいつまでに受診可能ですか？,原則3か月後までですが、期限を過ぎても受け付けますので、電子申請をお願いします。,13325,13
3186910,一時帰国・特別休暇のドキュメント提出先は？,海外駐在員の休暇（一時・特別）申請は、東京THR/東京人事Gの担当（武石）へ確認して下さい,13326,13
3186911,特定地域休暇の問合わせ先は？,海外駐在員の休暇（一時・特別）申請は、東京THR/東京人事Gの担当（武石）へ確認して下さい,13327,13
3186912,赴任のために、赴任前に海外へ行くが申請は？,定期異動の前に赴任した方のみ海外出張とみなします,13328,13
3186913,海外からの出向受入者の一時帰国料金は？,"エア代のみ海外出張旅費で負担。
請求書・領収書をもって支払う
現地での交通費は休暇のため、請求することができません。",13329,13
3186914,一時帰国休暇の立替金依頼書（エア代・日当）のドキュメント提出先は？,海外駐在員の休暇（一時・特別）申請は、東京THR/東京人事Gの担当（武石）へ確認して下さい,13330,13
3186915,海外赴任中に歯科にかかった。領収書をもっているので精算方法を教えてほしい,ﾌﾟﾚｽﾃｰｼﾞ・ｲﾝﾀｰﾅｼｮﾅﾙ社のﾍﾙｽｶｰﾄﾞを使います。ｶｰﾄﾞの表面にある問い合わせ先を確認下さい、領収書と明細書の送付先も記入されています。,13331,13
3186916,就労VISA取得に40日もかかるが、現地の仕事を早く始めたいため、先に出張として行く場合、赴任日はいつになりますか？,海外赴任については、就労VISA取得後が赴任日となりますので、それまでは出張扱いとなります。,13332,13
3186917,環境省へ領収書原本を提出する必要があるため、提出済みの領収書を返却してほしい,倉庫から取り寄せますので、出張番号をTHR担当へ連絡して下さい。入手次第あらためて連絡しますのでお待ち下さい。なおTHR保管がコピーとなる依頼書を作成下さい。,13333,13
3186918,海外出張精算したいが、レートがTWINSのどこにあるのか解らない,https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T005659?OpenDocument,13334,13
3186919,１ヶ月以上の海外出張の場合の精算処理方法は？,"海外長期出張については、1ヶ月毎の途中精算が原則になっています。
途中精算する際に通常の出張システムで精算してしまうと帰国したことになってしまうため、SAPの立替精算処理をしてください。
また、立替精算依頼書には費用計算書と領収書を添付の上、ＴＨＲ（各拠店）までご提出願います。
なお帰国された際は最終の精算のため、通常通り海外出張システムの精算届を作成します。精算届作成時の出張期間は実際の出発日・帰国日となりますが、日当支給日数は、途中精算した日数を引いてください。",13335,13
3186920,同行者（TTC社員）の宿泊代を立替た場合の処理は？,"同行者（TTC社員）を立て替えた場合は、海外出張システムの精算届で、一緒に精算してください。
同行者の費用負担Ｇが異なる場合には、費用負担方法で「所属Ｇコードと他Ｇコードで負担」を選択し、他Ｇコード欄に立替分を入力して精算。
その際に、摘要欄に「○○さんの宿泊代」とわかるように明記してください。",13336,13
3186921,日本でパスポートを取得・更新した場合、処理できるか？,部署の了解がある場合は精算可能です。,13337,13
3186922,円貨払いは「海外出張料金計算書」に含めていいの？,海外出張時精算の費用計算書ついては、【外貨払い分のみ】ですので含められません。円貨払いは別途SAP立替金で処理下さい。,13338,13
3186923,VISA（ﾋﾞｻﾞ）取得代の勘定科目は？,海外出張時におけるVISA取得代について、勘定科目は9238：支払手数料です。　※注意：入出国空港税（9311）ではありません。,13339,13
3186924,海外出張申請書に都市名がない。問合せ先は人事部となっているが具体的にはどこか？,名古屋THR人事部厚生G（名古屋5260）へ連絡して下さい。,13340,13
3186925,交際費の領収書をなくしたが、どのように精算したらよいか,"交際費の領収書を紛失した場合は、クレジット明細で対応します。クレジットカード明細での精算となる理由を明記のうえ、上長印をもらって下さい。
なお、円貨精算となるのでSAP立替金処理で精算して下さい。",13341,13
3186926,海外出張精算　3月計上の締日はいつ？（電子申請分）,海外出張精算について、4月の第一営業日午前中に、上長承認完了および紙の計算書の提出が完了しているもの,13342,13
3186927,海外出張の3月計上の締日はいつ？（経費・立替金分）,海外出張の締日については、4月の第二営業日定時までに、紙の提出があったものとなります,13343,13
3186928,海外出張時に、お客様と同行して、現地でケーブルカーに乗ったが、料金科目はなに？,取引先への献花代の勘定科目は、9142交際費です。,13344,13
3186929,レートに５％以上の差が出た場合とは？,"海外出張精算に伴う、帰国日レートに5％以上の相違が出た場合の特例として、
バウチャーレート、もしくはクレジットカードの場合はカード明細のレートと比べて両替等のエビデンスを添付することで負担を軽減できます。
なお、エビデンスがない場合は特例は認められません。また、両替時の手数料は自己負担（精算対象外）となります。",13345,13
3186930,マレーシアのレートは？,"海外出張精算に伴うマレーシアのレートは、帰国月の「TWINS/社内レート」でご確認下さい。
https://g-twins.toyotsu.co.jp/AP0246/SDB170.nsf/View_UNID/634E0DB111B42CEB492574520000B9EA?OpenDocument",13346,13
3186931,台湾のレートは？,"海外出張精算に伴うマレーシアのレートは、帰国月の「TWINS/社内レート」でご確認下さい。
https://g-twins.toyotsu.co.jp/AP0246/SDB170.nsf/View_UNID/634E0DB111B42CEB492574520000B9EA?OpenDocument",13347,13
3186932,ＴＴＭ、TTS、TTBレートとは？,"TTMレートとは、Telegraphic Transfer Middle rateの略で、日本語では仲値と言って、銀行が顧客に対して10万ドル未満の外国為替取引をする際の基準レートとして定められています。TTSとTTBのちょうど中間の値になります。

TTSレート＝対顧客電信売相場のこと。銀行が顧客に対して外貨を売る（円を外貨に交換する）時に用いられる 為替レート。

TTBレート＝対顧客電信買相場のこと。 銀行が顧客に対して外貨を買い取る（外貨を円に交換する）時に用いられる為替レート。

",13348,13
3186933,ＴＴＭレートの仲値ってなに？,"ＴＴＭレート（＝仲値）というのは、毎日9時55分頃のインターバンク市場の為替レートを基準にして、各銀行が決定する対顧客レートの基準値となるレートのことをいいます。

なお、決済日が2営業日後のインターバンク市場のレートからスワップポイント分を調整して当日物として決定します。

",13349,13
3186934,ＴＴＳレートとは？,"銀行が顧客に外貨を売るレート。
（顧客側からは銀行から外貨を買うレート。）
米ドルの場合、TTS(Telegraphic Transfer Selling)は仲値に1円プラスしたレート。

ＴＴＳレートというのは、電信売相場のことであり、金融機関の対顧客外貨売りレート（顧客の買いレート）のことをいいます。

なお、ＴＴＳレートには手数料が含まれていますので、仲値より高く設定されています。

",13350,13
3186935,"レートはどこで確認するの？                                                      

","海外出張時のレートの確認方法は、                                                      
1.　下記URLより確認してください
　　　　　⇒http://www.murc-kawasesouba.jp/fx/index.php   
2.　1で確認できない場合は、TWINSの財務企画部ＴＦＮ                 
　　　《TOYOTSU FINANCIAL NEWS》に                                  
  　　　掲載されている『社内レート』を確認                          
  　　　⇒TOYOTSU FINANCIAL NEWS 社内レート                         
  　　　　※（前月のTTMレートの平均値が、社内レートとなります）     
3.　2でも確認できない場合・・・・・                                
  　※　現地通貨に両替した際のレートを使用                    
  　　　　　　（エビデンス、両替書を添付）                          
  　※　ネットで確認
　　　　　⇒http://www.oanda.com/currency/classic-converter
",13351,13
3186936,社内レート、TTSレート、OANDAでも確認できないときはどうしたらよいか？," oandaでも調べられない場合は、両替したレートを使用。
　※oandaは、英文のものです。日付け　（帰国日）を入力
　　　・左側・・　手元にある通貨（外貨）　を選択
　　　・右側・・　必要な通貨（Japanese Yen、ＪＰＹ）　を選択　
　　　・【Cｏｎｖｅｒｔ　Ｎｏｗ】　をクリック
　　　・「Yｏｕ　buy・・」のレートを見てください。　
　　You bｕｙ・・（顧客が買う）　・・・　銀行側のTTＳレート
　　You sell・・（顧客が売る）　・・・　銀行側のTTＢレート　
 　★TTSレートとは、銀行が顧客に外貨を売るレート。
　　　（顧客側からは銀行から外貨を買うレート。）",13352,13
3186937,"交際費・会議費の勘定科目はなに？。5,000円で分けるの？","・9142交際費
・914Y交際費（50%損金算入）：\5,000超/人で社外の人を含む飲食
・914B交際費（損金算入）：\5,000以下/人で社外の人を含む飲食
・9152会議費：議事・内容は必ず記入しておく

待ち合わせ等での喫茶も含む
なお、添付の【交際費会議費精算明細書】を作成し、費用計算書とともにご提出下さい。",13353,13
3186938,"日本円で支払いったものが費用計算書に含めていいの？　
","海外出張システムではなく、立替精算（ＳＡＰ）で処理　
",13354,13
3186939,携帯電話を日本でレンタルしたが、料金科目は？,"「課税」と表記がある場合は、9171：通信費（国内）となるので返却する
「課税」と「非課税」を両方含む領収書が届いたら、立替金精算では科目を9171と9178に分ける",13355,13
3186940,本人が立替た費用を現地法人等で負担していただく場合は？,"海外出張精算システムではなく、
ＳＡＰの立替精算（1581：営業短期債権）",13357,13
3186941,"現地で立替た分の中で、一部をトヨタ自動車が負担してくれる場合の
費用計算書の入力は？","豊田通商負担の費用のみ入力してください。
先方負担分は、勘定科目を「A1581営業短期債権」で処理。",13358,13
3186942,"出張していないが、現地でTMCとの交際費をTTC負担にしてほしいと
現法から依頼がありました。その処理は？","海外出張に伴なう費用の発生ではないため、海外出張精算では処理できません。
営業経理にご相談してください。",13359,13
3186943,エアチケットキャンセル料の勘定科目は？,"海外出張用の航空券代キャンセル代は、勘定科目9161海外旅費となります。
国内出張用の航空券代キャンセル代は、勘定科目9169旅費交通費（雑口（課税））となります。",13360,13
3186944,取引先への献花代の勘定科目は？,取引先への献花代の勘定科目は、9142交際費です。,13361,13
3186945,面接のため、海外→日本・日本での交通費を営業部負担で支給したい（現金にて）勘定科目はどうなるか？,面接に対する費用のため、「雑費」勘定で処理する,13362,13
3186946,危険地での空港VIPｻｰﾋﾞｽ利用のための入場料の勘定科目は？,勘定科目は、9322：雑費となります。,13363,13
3186947,海外出張時の日本の空港使用料の勘定科目は？,9162：国内出張旅費,13364,13
3186948,旅客保安サービス料（課税）　の勘定科目は？,9162：国内出張旅費,13365,13
3186949,燃油サーチャージ料の勘定科目は？,9161：海外出張旅費,13366,13
3186950,業務委託以外（お客様）で宿泊費を負担する場合（同行）の勘定科目は？,取引先の宿泊費は、9142：交際費,13367,13
3186951,"海外出張の際、ロンドンで毎年開催される晩餐会に出席するため、
現地でタキシードをレンタルする。勘定科目は？",9295：賃借料（会議に際して一時的に借りた物品のレンタル代）,13368,13
3186952,"クレジットカードサーチャージ（１％）の勘定科目は？
オーストラリアなどで発生。","海外出張時の宿泊費等にかかるクレジットサーチャージについては、「9161：海外出張旅費」に含めてしまってもよいが、
個別に「9238：支払手数料」で計上しても可とします。",13369,13
3186953,海外出張時のスーツケース宅配代金（自宅〜国内空港）の勘定科目は？,"9241： 荷造運賃（国内）　ＳＡＰ立替精算処理して下さい
宅配便の送り状が兼領収書となっているので、送り状の控えでＯＫ",13370,13
3186954,通訳を委託した、通訳料の勘定科目は？,9238：支払手数料,13371,13
3186955,両替時に発生した手数料については、請求対象とはならないか？,"両替手数料は、支給対象外（自己負担）です。
",13372,13
3186956,展示会での飲食代で、お客様の分も立替た。勘定科目は？,"自分の分は「会議費」、お客様の分は、「広告宣伝費」
　※広告宣伝費は、決裁が必要 （決裁事項）",13373,13
3186957,クーリエ代の勘定科目は？,海外出張に伴う、クーリエの勘定科目は9242：荷造運賃です。,13374,13
3186958,交際費（損金算入）とは？,"交際費（損金算入）とは、法人が収益を得るために支出した仕入れに要する費用などの経費を必要経費（損金）として計上することです。
特定の支出に関しては損金として計上できなかったり、損金の計上に当たり限度額が定められているものなどがあります。

法人税の申告調整の際、会社の利益計算では費用や損失ではないが、税法上は損金の額に算入させる金額。法人税を申告するにあたって、課税所得金額を算出する際に使用します。決算によって出された企業会計上の利益は企業の財政状態や経営成績を反映するものであり、租税負担の公平さを目的としている課税所得金額とは異なった金額になります。

損金算入は課税所得金額を算出する際、利益から減算されるもののひとつです。例として青色申告事業年度の繰越欠損金、災害による繰越損失金などが挙げられます。他に利益から加算するものとしては損金不算入があり、減算されるものに益金不算入と損金算入があります。
",13375,13
3186959,"国内で使用している携帯電話を海外出張で使用する場合の処理は？
国内でレンタルし、海外で使用した携帯電話の使用料は？","国内の通信費は、ＴＯＳ担当で処理しています。
円貨の通信費は、ＴＯＳへ提出して下さい。
外貨の通信費は、計算書に記入して下さい。",13376,13
3186960,"海外出張時に現地（特に中国）で携帯電話本体を購入し、
その料金を精算できる？
","携帯電話の会社契約は、禁止されています。
個人で購入した場合は、原則、個人負担となります。

なお、出張時には、豊通シスコムの携帯電話レンタルサービスが
利用できます。

★TTCﾗｲﾌﾞﾗﾘｰ⇒ＩＴ戦略部⇒電話・ﾌｧｸﾐｼﾘ⇒携帯電話の会社契約禁止の件
https://twins-a1.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T013441?OpenDocument

今後は出張後の携帯電話活用方法をご確認ください。

原則はできないが、グループで管理し、出張時に利用するということであれば、
今回限りということで、「A9322: 雑費(海外)」で処理してもらってください。
今後は出張後の携帯電話活用方法をご確認ください。",13377,13
3186961,経費収益内訳表に計上されるJALマイレージバンク　A9162国内旅費　「ＪＲ」の内訳は？,"JALマイレージバンクで計上される費用は すべて海外出張時の費用となります。
 そのうち、国内旅費(A9162)で計上されるものは、 通常、海外出張時に発生する国内の空港使用料だと思いますが、
 詳細はTHRでは解りかねますので旅行代理店から、航空券等発注時の控えでご確認ください。",13378,13
3186962,"ESTAの支払いいはカード決済ですが、精算処理はどのようにしたらよいか？
","海外出張時のESTAの精算については、
■SAPの立替精算で処理。
■科目は、「9238支払手数料（雑口/非課税）」
■精算のタイミングは、申請時ではなくクレジットの請求明細が届いてから。
　申請時には＄１４支払ったというバウチャーが何もないと思いますので、クレジットの請求明細（コピー)をバウチャーとして添付。
■立替金額は、クレジット請求明細の金額（実施に払った日本円）もしくは社内レート（申請月）を使用する。

なお、１ヶ月以上経過した場合は、添付の「経費精算における異常発生理由書」を添付して下さい。
",13379,13
3186963,模倣サイトでESTA申請してしまい、７４＄支払った場合の精算は？,"「１４ドル」で、精算してください。
差額の手数料は、自己負担になります。",13380,13
3186964,入国費のレシートをもう一度使いたい,レシートの返却については、一度コピーしてオリジナルを返却しますが、利用後に必ずTHRへ返却して下さい。,13381,13
3186965,領収書の宛名は？,原則、豊田通商(株)。,13382,13
3186966,計算書を紛失してしまったら？,"計算書および領収書の紛失の場合、
計算書を再印刷し、余白部分に「提出途中で紛失」等と明記いただき、カード明細等の証明書類を添付の上、上長印押印し、再提出してください。

",13383,13
3186967,パスポート更新（取得申請）の費用について、旅行代理店を通さずに、個人で立替た場合の処理は？,"パスポート更新費用については、上長が承認した場合に、立替金精算の処理可能です。
SAPの立替金精算にて処理して下さい。
　・勘定科目：A9312　収入印紙　　（写真代は、A9329： 雑費）
なお、豊通オフィスサービス㈱へご提出下さい。",13384,13
3186968,パスポート更新（取得申請）の料金について、代理店を通すと手数料も発生するが会社負担となるか？,"海外出張のために必要なパスポート発行費用等であれば会社負担となります。 
海外出張が具体的に予定されている状況で発行するものであれば 「海外出張のため」と判断され、具体的に予定されていない状況では「海外出張のため」とは見做されません。
 なお、これらの費用は勘定科目A9238です。TOSへ申請して下さい。",13385,13
3186969,部付で、ＧＬ未満の方の承認者は？,"1.【承認者（ＧＬ）】・・部長に承認してもらい、
2.【承認者（部長）】・・部長に承認してもらう。
　部長には２回承認してもらうことになります！",13386,13
3186970,"承認者のガイドLINEはありますか
　(A) ＧＬが不在の場合
----------------------
　(B) 部長が不在の場合","1. Ｌ職以上の方を選択
     【承認者（ＧＬ）】・・部長に承認してもらい、
2. 【承認者（部長）】・・部長に承認してもらう。　
      部長には２回承認してもらうことになります！

------------------------------------------------------------
・Ｌ職以上の方を選択

なお、部長承認欄の変更は、TWINSのシステム上、
申請者本人では変更ができません。
ＧＬの方が承認する際に、次承認者の部長欄を
該当の方に変更の上、承認してもらってください。",13387,13
3186971,海外出張システムの承認者について教えて,"海外出張システムの承認者については、「承認者変更」を選択し、承認者を変更して下さい。
【初期設定に戻す】
【次回以降も記録】
【今回のみ変更】
と表示されます。（掲示板などの申請と同じ）

『次回以降も記録』を選択すると、人事異動で変わっても承認者は固定されたままになっています。
『初期設定に戻す』でリセットすれば、人事異動と連動します。",13388,13
3186972,所属が「部付」となり、海外出張申請を申請すると、申請画面上【ＧＬ承認の入力必要】となります。 直属の上司は、部長のため、ＧＬ不在の状況です。申請方法をご教示願ます。,"部付の方の申請の場合は、ＧＬ承認欄にも
お手数ですが、部長を選択して申請してください。",13389,13
3186973,"部長が長期休暇を取る際、承認者が部長になる方々は、
システム上で代理の方に申請できるような方法になっておりますでしょうか？","通常、部長不在時に代行されている部長職の方（副部長）を
承認者に選択していただければ、結構です。

ＧＬと部付の方に影響があるとのことですが、
海外出張はすべて部長決裁となりますので、
部内の出張者すべてが対象となります。

なお、部長承認欄の変更は、TWINSのシステム上、
申請者本人では変更ができません。
ＧＬの方が承認する際に、次承認者の部長欄を
該当の方に変更の上、承認してもらってください。",13390,13
3186974,海外出張について、ＧＬが、承認した後に再度自分が承認した内容を見たい場合は？,海外出張については、システム上、未承認の画面しか見れません。（承認が完了したものは、閲覧できません）,13391,13
3186975,海外出張について、3月中に「出張申請」したもので、4月からグループコードが変更になったら？,海外出張のグループコード変更について、ＴＨＲで修正しますので、新しいグループコード修正後に精算届を作成してください。,13392,13
3186976,料金計算書の金額に外貨記号が入る,"費用計算書を一旦保存し、その後に「パスワード解除」
セルの書式設定にて変更　　※PWは別紙参照",13393,13
3186977,海外出張先を１ヶ所変更する場合,"THRにて変更する
１箇所・１日の違いであれば直してあげる",13394,13
3186978,海外出張申請について、２つの出張の間に1日しかない。それでも出張申請は２件作成すべきか？,海外出張申請については、一旦帰国しているのであれば、保険期間が切れるので２件作成して下さい。,13395,13
3186979,海外出張の日当を1日短く付け、帰国日は国内日当で精算してしまったどうすればよいか？,過払い分は給与にて天引きするので、THRへご連絡下さい。,13397,13
3186980,海外出張システムのマニュアルはあるの？,"TTCライブラリーにて掲載
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T031295?OpenDocument",13398,13
3186981,精算漏れがあった場合どうすればよいか？,"立替金精算にて処理。摘要に出張ＮＯ．や理由等を記入いただく。
計算書（帰国日レート・「＋１円」で自動計算される）を使用すると良い。",13399,13
3186982,立替金口座の変更登録をしたら、いつから新口座へ反映されますか？,本人が登録し、ＴＨＲで処理し、夜間処理後、翌日よりシステム使用可能。,13400,13
3186983,"お客様手配のツアーで海外出張する場合の申請・精算は？
ツアーなので、細かく料金が分かれていません。","海外出張申請は、通常どおり作成下さい。
なお、あくまで概算を入力（システムは現地で本人が立替えた場合はその金額と日当。お客様手配のツアー分は、経費支払処理）して下さい。
",13401,13
3186984,精算届を入力しても、合計欄に反映されません,「．」は不要です。「９１０８９」円と数字のみ入力してください。,13403,13
3186985,"出向先負担の海外出張精算が、「0円」で申請できない
","海外出張旅費システムは、下記の場合、申請時にエラーとなってしまいます。
・費用明細欄に金額の入力がされていない⇒0円と入力
・費用計算書ファイルが添付されていない⇒ブランクの計算書でも結構ですので、何かファイルを添付していただき、再申請して下さい。",13404,13
3186986,海外出張が中止になり、却下されたとき、保険申込も取消になるの？,海外出張の保険手続きについては、毎月、月末時点で承認されている出張届について、保険部へデータが流れるため、却下されたデータは保険申込も取り消されるしくみとなります。,13406,13
3186987,海外出張システムで、「保険申込へ」から先へ進めません。,"出発日の年月日が間違っていませんか？
正確な日付を入力してみて、それでも出来ない場合はTHR各拠店担当へご連絡下さい。",13408,13
3186988,海外出張時の会社付保について、ビザ申請で付保証明書（英文）が必要です。発行していただけますか？,保険第二部へ直接依頼してください。,13409,13
