id,question,answer,question_answer_id,bot_id,answer_id
3203447,ピティナって,"ピティナは、全国組織を持つ公益法人であるピアノ・音楽指導者団体です。

詳細
http://www.piano.or.jp/info/about/",9002,8,10622
3203448,こんにちは,こんにちは,9003,8,2684
3203449,こんばんは,こんばんは,9004,8,2685
3203450,おはよう,おはようございます,9005,8,2686
3203451,入会するとどんな特典がありますか？,"ピティナに入会すると、コンペティションやステップなどの参加料金の割引の他、様々な形でピアノ指導者のレッスン環境をサポートしています。

ピアノ教室紹介事業では、生徒を募集している会員のピアノ教室を、指導者を探している方々に紹介しています。詳しくは会員種別・特典をご覧ください。

 ピティナの主催するコンペティションやステップ、セミナーなどあらゆる活動は、会員により運営されています。各地の支部に所属することで地域の活動の運営に積極的に関わることも可能です。",9006,8,2687
3203452,ピティナに入会するとどんな特典がありますか？,"ピティナに入会すると、コンペティションやステップなどの参加料金の割引の他、様々な形でピアノ指導者のレッスン環境をサポートしています。

ピアノ教室紹介事業では、生徒を募集している会員のピアノ教室を、指導者を探している方々に紹介しています。詳しくは会員種別・特典をご覧ください。

 ピティナの主催するコンペティションやステップ、セミナーなどあらゆる活動は、会員により運営されています。各地の支部に所属することで地域の活動の運営に積極的に関わることも可能です。",9007,8,10666
3203453,入会　特典,"ピティナに入会すると、コンペティションやステップなどの参加料金の割引の他、様々な形でピアノ指導者のレッスン環境をサポートしています。

ピアノ教室紹介事業では、生徒を募集している会員のピアノ教室を、指導者を探している方々に紹介しています。詳しくは会員種別・特典をご覧ください。

 ピティナの主催するコンペティションやステップ、セミナーなどあらゆる活動は、会員により運営されています。各地の支部に所属することで地域の活動の運営に積極的に関わることも可能です。",9008,8,10667
3203454,入会の特典は,"ピティナに入会すると、コンペティションやステップなどの参加料金の割引の他、様々な形でピアノ指導者のレッスン環境をサポートしています。

ピアノ教室紹介事業では、生徒を募集している会員のピアノ教室を、指導者を探している方々に紹介しています。詳しくは会員種別・特典をご覧ください。

 ピティナの主催するコンペティションやステップ、セミナーなどあらゆる活動は、会員により運営されています。各地の支部に所属することで地域の活動の運営に積極的に関わることも可能です。",9009,8,10668
3203455,入会していいことってあるの,"ピティナに入会すると、コンペティションやステップなどの参加料金の割引の他、様々な形でピアノ指導者のレッスン環境をサポートしています。

ピアノ教室紹介事業では、生徒を募集している会員のピアノ教室を、指導者を探している方々に紹介しています。詳しくは会員種別・特典をご覧ください。

 ピティナの主催するコンペティションやステップ、セミナーなどあらゆる活動は、会員により運営されています。各地の支部に所属することで地域の活動の運営に積極的に関わることも可能です。",9010,8,10669
3203456,入会,"オンライン入会
https://www.piano.or.jp/member_entry/member_entry_step0_1.php

入会申込書のご請求
http://www.piano.or.jp/info/member/memberentry.html",9011,8,2688
3203457,ピティナ入会,"オンライン入会
https://www.piano.or.jp/member_entry/member_entry_step0_1.php

入会申込書のご請求
http://www.piano.or.jp/info/member/memberentry.html",9012,8,10671
3203458,ピティナ　入会,"オンライン入会
https://www.piano.or.jp/member_entry/member_entry_step0_1.php

入会申込書のご請求
http://www.piano.or.jp/info/member/memberentry.html",9013,8,10672
3203459,ピティナに入会したい,"オンライン入会
https://www.piano.or.jp/member_entry/member_entry_step0_1.php

入会申込書のご請求
http://www.piano.or.jp/info/member/memberentry.html",9014,8,10673
3203460,入会したい,"オンライン入会
https://www.piano.or.jp/member_entry/member_entry_step0_1.php

入会申込書のご請求
http://www.piano.or.jp/info/member/memberentry.html",9015,8,10674
3203461,キャンセルしたいです,"キャンセルについて：
◆先生の連絡先を知る前
仲介スタッフまでキャンセルの旨をご連絡ください。

◆先生の連絡先を知った後
先生にお会いする前でも後でも、必ず先生へ直接ご連絡ください。

◆面談後
なるべく２～３日のうちにご連絡ください。",9016,8,10659
3203462,どれくらいで紹介してもらえますか,"申込順に仲介スタッフが対応いたします。原則、1週間以内にご連絡を差し上げております。

申込からレッスン開始までの期間は、一般的に2週間程度を要しますので、時間的な余裕を持ってお申込みください。",9017,8,10657
3203463,個人情報について,"個人情報保護法に基づき、慎重に取り扱い致します。ご連絡先は仲介スタッフからご連絡させて頂く際に必要となり、またご希望の先生へご紹介する際に必要になります。スムーズにご紹介させて頂く為にもご協力をお願いいたします。

個人情報保護方針
http://www.piano.or.jp/info/homepage/privacy/",9018,8,10655
3203464,レッスン料金がわからない,レッスン料金や曜日などの情報は、申告内容に沿って掲載しています。掲載されていない情報に関してご要望がある場合は、申込フォームの要望欄へご記入ください。,9019,8,10648
3203465,レッスン料金は,レッスン料金や曜日などの情報は、申告内容に沿って掲載しています。掲載されていない情報に関してご要望がある場合は、申込フォームの要望欄へご記入ください。,9020,8,10649
3203466,入会金を知りたい,"《入会金》
正会員
10,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員	
3,000円

グランミューズ会員
1,000円


《年会費》
正会員
12,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員
6,000円

グランミューズ会員
3,600円",9021,8,2689
3203467,年会費,"《入会金》
正会員
10,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員	
3,000円

グランミューズ会員
1,000円


《年会費》
正会員
12,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員
6,000円

グランミューズ会員
3,600円",9022,8,10675
3203468,年会費は,"《入会金》
正会員
10,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員	
3,000円

グランミューズ会員
1,000円


《年会費》
正会員
12,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員
6,000円

グランミューズ会員
3,600円",9023,8,10676
3203469,年会費教えて,"《入会金》
正会員
10,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員	
3,000円

グランミューズ会員
1,000円


《年会費》
正会員
12,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員
6,000円

グランミューズ会員
3,600円",9024,8,10677
3203470,入会金教えて,"《入会金》
正会員
10,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員	
3,000円

グランミューズ会員
1,000円


《年会費》
正会員
12,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員
6,000円

グランミューズ会員
3,600円",9025,8,10678
3203471,入会金は,"《入会金》
正会員
10,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員	
3,000円

グランミューズ会員
1,000円


《年会費》
正会員
12,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員
6,000円

グランミューズ会員
3,600円",9026,8,10679
3203472,入会時期によって年会費の支払い額は変わりますか？,"初年度年会費の支払額が、入会時期によって変わることはありません。

年度途中で入会される場合、まず1年分の年会費を先に頂戴し、次年度の更新のご案内を差し上げる際に、超過分を差し引いた金額で調整し、ご請求させて頂きます。",9027,8,2690
3203473,入会時期　年会費,"初年度年会費の支払額が、入会時期によって変わることはありません。

年度途中で入会される場合、まず1年分の年会費を先に頂戴し、次年度の更新のご案内を差し上げる際に、超過分を差し引いた金額で調整し、ご請求させて頂きます。",9028,8,10681
3203474,入会する時期　年会費　変わる,"初年度年会費の支払額が、入会時期によって変わることはありません。

年度途中で入会される場合、まず1年分の年会費を先に頂戴し、次年度の更新のご案内を差し上げる際に、超過分を差し引いた金額で調整し、ご請求させて頂きます。",9029,8,10682
3203475,入会資格、入会審査はありますか？,"入会資格・審査について、正会員以外は特にありません。

正会員については、当協会理事会による審査がございます。
申請には正会員推薦書の提出が必要です。本部事務局までお問合せください。

正会員への承認基準
http://www.piano.or.jp/info/member/date.html#detail

そのほかの会員種別については審査は必要ありません。どなたでもご入会頂けます。
ただし、小学生以下のお子さまはご入会できません。保護者の方が家族会員としてご入会ください。
また、中学生以上の学生の方は、学生会員としてご入会頂けます。家族会員から学生会員への名義移行をご希望の場合は本部事務局までお問合せください。",9030,8,2691
3203476,入会資格,"入会資格・審査について、正会員以外は特にありません。

正会員については、当協会理事会による審査がございます。
申請には正会員推薦書の提出が必要です。本部事務局までお問合せください。

正会員への承認基準
http://www.piano.or.jp/info/member/date.html#detail

そのほかの会員種別については審査は必要ありません。どなたでもご入会頂けます。
ただし、小学生以下のお子さまはご入会できません。保護者の方が家族会員としてご入会ください。
また、中学生以上の学生の方は、学生会員としてご入会頂けます。家族会員から学生会員への名義移行をご希望の場合は本部事務局までお問合せください。",9031,8,10683
3203477,希望条件に合う先生がいない,登録教室の中からご紹介させて頂いておりますので、必ずしも全ての希望条件に沿ったご紹介ができない場合がございます。あらかじめご了承ください。,9032,8,10653
3203478,おはようございます,おはようございます,9033,8,10665
3203479,こんにちわ,こんにちは,9034,8,10663
3203480,こんばんわ,こんばんは,9035,8,10664
3203481,入会の特典,"ピティナに入会すると、コンペティションやステップなどの参加料金の割引の他、様々な形でピアノ指導者のレッスン環境をサポートしています。

ピアノ教室紹介事業では、生徒を募集している会員のピアノ教室を、指導者を探している方々に紹介しています。詳しくは会員種別・特典をご覧ください。

 ピティナの主催するコンペティションやステップ、セミナーなどあらゆる活動は、会員により運営されています。各地の支部に所属することで地域の活動の運営に積極的に関わることも可能です。",9036,8,10670
3203482,入会金,"《入会金》
正会員
10,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員	
3,000円

グランミューズ会員
1,000円


《年会費》
正会員
12,000円

指導会員・演奏会員・研究会員・作曲会員・支持会員・学生会員
6,000円

グランミューズ会員
3,600円",9037,8,10680
3203483,レッスン料金,レッスン料金や曜日などの情報は、申告内容に沿って掲載しています。掲載されていない情報に関してご要望がある場合は、申込フォームの要望欄へご記入ください。,9038,8,10650
3203484,レッスンの曜日はいつ,レッスン料金や曜日などの情報は、申告内容に沿って掲載しています。掲載されていない情報に関してご要望がある場合は、申込フォームの要望欄へご記入ください。,9039,8,10651
3203485,ピアノがなくても大丈夫ですか？,お申込時点でピアノをご家庭にお持ちでなくても、基本は問題ありません。ただ、先生によって方針が異なるところでもありますので、お申込後に個別お話しさせていただきます。,9040,8,2692
3203486,ピアノを持ってないですけれどいいですか？,お申込時点でピアノをご家庭にお持ちでなくても、基本は問題ありません。ただ、先生によって方針が異なるところでもありますので、お申込後に個別お話しさせていただきます。,9041,8,10684
3203487,ピアノ持ってないけどだいじょうぶ？,お申込時点でピアノをご家庭にお持ちでなくても、基本は問題ありません。ただ、先生によって方針が異なるところでもありますので、お申込後に個別お話しさせていただきます。,9042,8,10685
3203488,先生の年齢を指定することはできますか？,先生の年齢指定は、基本的にお受けしていませんが、レッスンを受けられる方が年少者の場合に限り個別にご相談に応じます。,9043,8,2694
3203489,期間を限定してレッスンを受けたいのですが。,期間限定のレッスンについては、お申込時にご要望欄へお書き添えください。個別にご相談に応じます。,9044,8,2695
3203490,伴奏を依頼できますか？,"伴奏者をお探しの場合は以下より承ります。

伴奏者紹介
http://www.piano.or.jp/concert/accompaniment/",9045,8,2696
3203491,特定の音楽大学に勤務している先生を紹介して頂きたいのですが。,音大勤務の指定については、お申込時にご要望欄へ記入ください。個別にご相談に応じます。,9046,8,2697
3203492,先生の卒業大学を指定することはできますか？,卒業／出身大学の指定については、お申込時にご要望欄へ記入ください。個別にご相談に応じます。,9047,8,2698
3203493,１曲だけのレッスンも可能ですか？,１曲だけのレッスンも、先生によっては可能です。お申込時にご要望欄へ具体的な曲名を記入ください。,9048,8,2699
3203494,海外の先生を紹介して貰えますか？,"以下に掲載されている海外の先生でしたら、ご紹介可能です。

http://www.piano.or.jp/teacher/findteacher/kaigai/",9049,8,2700
3203495,保育士受験対策のレッスンを希望します。,保育士受験対策については、リストの「絞込検索」機能をご利用頂くと、対応可能な先生が表示されます。その上で、お申込時にその旨をご要望欄へ記入ください。,9050,8,2701
3203496,Skypeレッスンをしている教室はありますか？,"Skypeをはじめとするリモートレッスン可能な教室については、以下をご参照ください。

http://www.piano.or.jp/teacher/findteacher/pref/48skype/",9051,8,2702
3203497,卓上キーボードだけしか持っていなくても大丈夫ですか？,卓上キーボードについては、はじめのうちは問題ありませんが、演奏曲やレベルに応じて、特に鍵盤数や打鍵感などに不足が生じる可能性があります。,9052,8,2703
3203498,半年後からレッスンを始めたいのですが、今から申し込んでも良いですか？,いつからのレッスン開始でも申込は可能です。いつから習い始めたいかについては、具体的な開始希望月をお申込時にその旨をご要望欄へ記入ください。,9053,8,2704
3203499,まだ申込むかどうか決めていないのですが、近いかどうかが知りたいです。,個人情報保護法により、利用規約に同意いただいていない方に先生の情報をお伝えすることができませんので、まずはお申込ください。一切の料金はかかりませんので、お気兼ねなくお申込ください。,9054,8,2705
3203500,習うかどうか？　続くかどうかわかりませんから、自宅に楽器がありません。,お申込時点でピアノをご家庭にお持ちでなくても、基本は問題ありません。ただ、先生によって方針が異なるところでもありますので、お申込後に個別お話しさせていただきます。,9055,8,10686
3203501,体験レッスンは無料ですか？,基本的には体験レッスンも有料とお考えいただければと思いますが、先生によっては無料でおこなってくださるところもあります。お申込後に個別にご確認ください。,9056,8,2706
3203502,ピアノを習うのは、何年齢からが良いですか？,"一般に、ピアノを習うのは早ければ早いほどいい、と言われますが、個人差がありますので、少なくともその子がピアノの前に集中して座ることのできるようになってからが良いと考えられます。

もちろん、ピアノを習うことによって落ち着きが出てくる、ということもありますので、一概にこの年齢、と断言することは難しい問題です。",9057,8,2708
3203503,紹介後、先生にお電話するのはどんなお時間が良いですか？　日中は仕事のため電話ができません。,"先生方もレッスン中はお電話にお出になることが難しいので、平日の午前中か夜8時以降がよろしいかと思います。

先生によっては夜10時以降がゆっくり話せて良い、と言われることもありますが、初めてのところにお電話するのに、夜9時以降はお電話しづらいと思いますので、まずは夜8時以降をお薦めしています。",9058,8,2709
3203504,先生に電話する時間帯,"先生方もレッスン中はお電話にお出になることが難しいので、平日の午前中か夜8時以降がよろしいかと思います。

先生によっては夜10時以降がゆっくり話せて良い、と言われることもありますが、初めてのところにお電話するのに、夜9時以降はお電話しづらいと思いますので、まずは夜8時以降をお薦めしています。",9059,8,10715
3203505,ピアノを習う年齢,"一般に、ピアノを習うのは早ければ早いほどいい、と言われますが、個人差がありますので、少なくともその子がピアノの前に集中して座ることのできるようになってからが良いと考えられます。

もちろん、ピアノを習うことによって落ち着きが出てくる、ということもありますので、一概にこの年齢、と断言することは難しい問題です。",9060,8,10711
3203506,体験レッスンの料金,基本的には体験レッスンも有料とお考えいただければと思いますが、先生によっては無料でおこなってくださるところもあります。お申込後に個別にご確認ください。,9061,8,10709
3203507,無言,無言は悲しいです。何かおっしゃってください。,9062,8,2710
3203508,先生への電話は何時がいいですか,"先生方もレッスン中はお電話にお出になることが難しいので、平日の午前中か夜8時以降がよろしいかと思います。

先生によっては夜10時以降がゆっくり話せて良い、と言われることもありますが、初めてのところにお電話するのに、夜9時以降はお電話しづらいと思いますので、まずは夜8時以降をお薦めしています。",9063,8,10716
3203509,ピアノ習う　何年齢から,"一般に、ピアノを習うのは早ければ早いほどいい、と言われますが、個人差がありますので、少なくともその子がピアノの前に集中して座ることのできるようになってからが良いと考えられます。

もちろん、ピアノを習うことによって落ち着きが出てくる、ということもありますので、一概にこの年齢、と断言することは難しい問題です。",9064,8,10712
3203510,体験レッスンにお金かかりますか,基本的には体験レッスンも有料とお考えいただければと思いますが、先生によっては無料でおこなってくださるところもあります。お申込後に個別にご確認ください。,9065,8,10710
3203511,家に楽器ありません,お申込時点でピアノをご家庭にお持ちでなくても、基本は問題ありません。ただ、先生によって方針が異なるところでもありますので、お申込後に個別お話しさせていただきます。,9066,8,10687
3203512,近い先生を知りたい,個人情報保護法により、利用規約に同意いただいていない方に先生の情報をお伝えすることができませんので、まずはお申込ください。一切の料金はかかりませんので、お気兼ねなくお申込ください。,9067,8,10707
3203513,レッスン開始は後でもいいですか,いつからのレッスン開始でも申込は可能です。いつから習い始めたいかについては、具体的な開始希望月をお申込時にその旨をご要望欄へ記入ください。,9068,8,10706
3203514,キーボードしかない,卓上キーボードについては、はじめのうちは問題ありませんが、演奏曲やレベルに応じて、特に鍵盤数や打鍵感などに不足が生じる可能性があります。,9069,8,10705
3203515,リモートレッスン,"Skypeをはじめとするリモートレッスン可能な教室については、以下をご参照ください。

http://www.piano.or.jp/teacher/findteacher/pref/48skype/",9070,8,10704
3203516,海外の先生,"以下に掲載されている海外の先生でしたら、ご紹介可能です。

http://www.piano.or.jp/teacher/findteacher/kaigai/",9071,8,10703
3203517,一曲だけのレッスン,１曲だけのレッスンも、先生によっては可能です。お申込時にご要望欄へ具体的な曲名を記入ください。,9072,8,10702
3203518,音大の先生に習いたい,音大勤務の指定については、お申込時にご要望欄へ記入ください。個別にご相談に応じます。,9073,8,10695
3203519,音楽大学,音大勤務の指定については、お申込時にご要望欄へ記入ください。個別にご相談に応じます。,9074,8,10696
3203520,伴奏者,"伴奏者をお探しの場合は以下より承ります。

伴奏者紹介
http://www.piano.or.jp/concert/accompaniment/",9075,8,10693
3203521,伴奏をして欲しい,"伴奏者をお探しの場合は以下より承ります。

伴奏者紹介
http://www.piano.or.jp/concert/accompaniment/",9076,8,10694
3203522,期間限定のレッスン,期間限定のレッスンについては、お申込時にご要望欄へお書き添えください。個別にご相談に応じます。,9077,8,10691
3203523,特定の期間だけレッスンして欲しい,期間限定のレッスンについては、お申込時にご要望欄へお書き添えください。個別にご相談に応じます。,9078,8,10692
3203524,先生の年齢,先生の年齢指定は、基本的にお受けしていませんが、レッスンを受けられる方が年少者の場合に限り個別にご相談に応じます。,9079,8,10689
3203525,若い先生に習いたい,先生の年齢指定は、基本的にお受けしていませんが、レッスンを受けられる方が年少者の場合に限り個別にご相談に応じます。,9080,8,10690
3203526,ピアノ持ってない,お申込時点でピアノをご家庭にお持ちでなくても、基本は問題ありません。ただ、先生によって方針が異なるところでもありますので、お申込後に個別お話しさせていただきます。,9081,8,10688
3203527,キャンセルしたい,"キャンセルについて：
◆先生の連絡先を知る前
仲介スタッフまでキャンセルの旨をご連絡ください。

◆先生の連絡先を知った後
先生にお会いする前でも後でも、必ず先生へ直接ご連絡ください。

◆面談後
なるべく２～３日のうちにご連絡ください。",9082,8,10660
3203528,急いで探してる,"申込順に仲介スタッフが対応いたします。原則、1週間以内にご連絡を差し上げております。

申込からレッスン開始までの期間は、一般的に2週間程度を要しますので、時間的な余裕を持ってお申込みください。",9083,8,10658
3203529,先生　見つからない,登録教室の中からご紹介させて頂いておりますので、必ずしも全ての希望条件に沿ったご紹介ができない場合がございます。あらかじめご了承ください。,9084,8,10654
3203530,同時に申込できますか,"一度にお一人ずつ先生をご紹介致しますので、まずは第一希望の先生を決めてお申し込み下さい。

不明点や要望がありましたら、申込フォームの要望欄にご記入ください。",9085,8,10640
3203531,月謝を知りたい,"月謝額・入会金に決まりはありません。

個人教室が登録されており、月謝額・欠席時の規則・振替レッスン等は教室によって異なります。レッスンを開始する前に先生へよくご確認ください。

なお、ご紹介成立後にやめられる場合や、月謝料の調整などについては仲介致しかねますのでご了承下さい。",9086,8,10636
3203532,先生の登録基準,"ピティナ正会員、指導会員 演奏会員等のうち、掲載希望を頂いている方のみ登録しております。掲載にあたっては、特に審査等はございません。

会員種別について
http://www.piano.or.jp/info/member/date.html",9087,8,10629
3203533,保育士の実技試験が間近に迫っています。短期でのレッスンをしてくださる先生を探せますか？,保育士実技試験に向けての短期レッスンは、ご希望の先生のお教室の空き状況やご都合にもよりますが、なるべく早くレッスンができるように、先生探しのお手伝いをさせていただきます。お申込時に、その旨を、実技試験日と課題曲等とともに、ご要望欄へ記入ください。,9088,8,2741
3203534,スッテっプに参加したい,"ピティナの他事業については以下をご覧ください。

コンペティション
http://www.piano.or.jp/compe/

ステップ
http://www.piano.or.jp/step/

セミナー
http://www.piano.or.jp/seminar/

ピアノ曲事典
http://www.piano.or.jp/enc/

※他にも多数の事業をおこなっています。",9089,8,2742
3203535,元気ですか？,おおむね元気です。,9090,8,2743
3203536,うちの子供は2年齢です。ピアノを始めるにはまだ早いでしょうか？,"一般に、ピアノを習うのは早ければ早いほどいい、と言われますが、個人差がありますので、少なくともその子がピアノの前に集中して座ることのできるようになってからが良いと考えられます。

もちろん、ピアノを習うことによって落ち着きが出てくる、ということもありますので、一概にこの年齢、と断言することは難しい問題です。",9091,8,10713
3203537,ピアノ　何年齢から,"一般に、ピアノを習うのは早ければ早いほどいい、と言われますが、個人差がありますので、少なくともその子がピアノの前に集中して座ることのできるようになってからが良いと考えられます。

もちろん、ピアノを習うことによって落ち着きが出てくる、ということもありますので、一概にこの年齢、と断言することは難しい問題です。",9092,8,10714
3203538,所在地・氏名など書きたくないのですが。,"個人情報保護法に基づき、慎重に取り扱い致します。ご連絡先は仲介スタッフからご連絡させて頂く際に必要となり、またご希望の先生へご紹介する際に必要になります。スムーズにご紹介させて頂く為にもご協力をお願いいたします。

個人情報保護方針
http://www.piano.or.jp/info/homepage/privacy/",9093,8,10656
3203539,紹介料は払うのですか？,教室紹介は仲介無料です。ピティナへのお支払いは生じません。習うことになったら、先生に直接レッスン代をお支払いください。,9094,8,10633
3203540,入会金はありますか？,"月謝額・入会金に決まりはありません。

個人教室が登録されており、月謝額・欠席時の規則・振替レッスン等は教室によって異なります。レッスンを開始する前に先生へよくご確認ください。

なお、ご紹介成立後にやめられる場合や、月謝料の調整などについては仲介致しかねますのでご了承下さい。",9095,8,10637
3203541,国立音大の先生を探しているのですが。,音大勤務の指定については、お申込時にご要望欄へ記入ください。個別にご相談に応じます。,9096,8,10697
3203542,大人で初めてでも大丈夫ですか？,"大人の初めての方や成人男性でもお申込いただけます。
教室・先生によって、得意とするところがそれぞれありますので、教室の詳細情報をご確認の上、まずはお申込ください。",9097,8,2745
